# 20150403-140236_3maart.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -1.56 V ( -1.56V ) [-39]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -2.12 V ( -2.12V ) [-53]
# Timebase (time/DIV)  : 5e-3 s ( 5ms )
#  { screen range 18*(t/DIV)= 90ms }
# Sampling rate (scope Acquire menu,2CH RealTime): 125e3 Hz [Sa/s] ( 125kHz )
#  {eqv.period: 8us range: 128ms }
# Sampling interval (scope USB FlashDrive .CSV)  : 8e-6 s ( 8us )
#  {eqv.freq: 125kHz range: 128ms }
# Sampling interval (screen_range/num_samples)   : 5.625e-6 s ( 5.625us )
#  {eqv.freq: 177.777777777778kHz }
# Time Ranges 128ms > 90ms: assume resample +recalc;
#  { final timestep: 8e-6 / 8us {eqv.freq: 125kHz range 128ms }}
# Oversample factor: 1.0 ( -- 1.422222 1 0.422222222222222 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 3 (Trig'd); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-360e-3,0) ; ch2 (0,3.64)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 16000 (ch1: 16000 ; ch2: 16000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 5ms T/DIV2 5ms Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 1.64V mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,80,77,0,-360e-3,80e-3
1,80,76,8e-06,-360e-3,40e-3
2,80,77,1.6e-05,-360e-3,80e-3
3,81,77,2.4e-05,-320e-3,80e-3
4,81,77,3.2e-05,-320e-3,80e-3
5,81,77,4e-05,-320e-3,80e-3
6,80,77,4.8e-05,-360e-3,80e-3
7,80,77,5.6e-05,-360e-3,80e-3
8,80,77,6.4e-05,-360e-3,80e-3
9,81,77,7.2e-05,-320e-3,80e-3
10,81,77,8e-05,-320e-3,80e-3
11,80,76,8.8e-05,-360e-3,40e-3
12,80,77,9.6e-05,-360e-3,80e-3
13,80,77,0.000104,-360e-3,80e-3
14,80,77,0.000112,-360e-3,80e-3
15,81,77,0.00012,-320e-3,80e-3
16,80,77,0.000128,-360e-3,80e-3
17,81,77,0.000136,-320e-3,80e-3
18,80,77,0.000144,-360e-3,80e-3
19,81,77,0.000152,-320e-3,80e-3
20,80,77,0.00016,-360e-3,80e-3
21,80,77,0.000168,-360e-3,80e-3
22,80,77,0.000176,-360e-3,80e-3
23,80,77,0.000184,-360e-3,80e-3
24,80,77,0.000192,-360e-3,80e-3
25,80,77,0.0002,-360e-3,80e-3
26,80,77,0.000208,-360e-3,80e-3
27,80,76,0.000216,-360e-3,40e-3
28,80,77,0.000224,-360e-3,80e-3
29,80,77,0.000232,-360e-3,80e-3
30,81,76,0.00024,-320e-3,40e-3
31,81,77,0.000248,-320e-3,80e-3
32,81,76,0.000256,-320e-3,40e-3
33,80,77,0.000264,-360e-3,80e-3
34,80,77,0.000272,-360e-3,80e-3
35,80,77,0.00028,-360e-3,80e-3
36,80,76,0.000288,-360e-3,40e-3
37,80,77,0.000296,-360e-3,80e-3
38,80,77,0.000304,-360e-3,80e-3
39,80,77,0.000312,-360e-3,80e-3
40,80,77,0.00032,-360e-3,80e-3
41,81,77,0.000328,-320e-3,80e-3
42,81,77,0.000336,-320e-3,80e-3
43,80,77,0.000344,-360e-3,80e-3
44,80,76,0.000352,-360e-3,40e-3
45,80,77,0.00036,-360e-3,80e-3
46,80,77,0.000368,-360e-3,80e-3
47,81,77,0.000376,-320e-3,80e-3
48,80,77,0.000384,-360e-3,80e-3
49,80,77,0.000392,-360e-3,80e-3
50,81,77,0.0004,-320e-3,80e-3
51,80,77,0.000408,-360e-3,80e-3
52,80,77,0.000416,-360e-3,80e-3
53,80,76,0.000424,-360e-3,40e-3
54,80,77,0.000432,-360e-3,80e-3
55,80,77,0.00044,-360e-3,80e-3
56,81,77,0.000448,-320e-3,80e-3
57,80,77,0.000456,-360e-3,80e-3
58,80,77,0.000464,-360e-3,80e-3
59,80,77,0.000472,-360e-3,80e-3
60,80,77,0.00048,-360e-3,80e-3
61,80,77,0.000488,-360e-3,80e-3
62,80,77,0.000496,-360e-3,80e-3
63,81,76,0.000504,-320e-3,40e-3
64,80,76,0.000512,-360e-3,40e-3
65,81,77,0.00052,-320e-3,80e-3
66,80,77,0.000528,-360e-3,80e-3
67,81,77,0.000536,-320e-3,80e-3
68,80,77,0.000544,-360e-3,80e-3
69,81,77,0.000552,-320e-3,80e-3
70,80,77,0.00056,-360e-3,80e-3
71,80,77,0.000568,-360e-3,80e-3
72,80,77,0.000576,-360e-3,80e-3
73,80,77,0.000584,-360e-3,80e-3
74,80,77,0.000592,-360e-3,80e-3
75,80,77,0.0006,-360e-3,80e-3
76,80,77,0.000608,-360e-3,80e-3
77,80,77,0.000616,-360e-3,80e-3
78,80,76,0.000624,-360e-3,40e-3
79,80,76,0.000632,-360e-3,40e-3
80,81,77,0.00064,-320e-3,80e-3
81,80,76,0.000648,-360e-3,40e-3
82,80,77,0.000656,-360e-3,80e-3
83,80,77,0.000664,-360e-3,80e-3
84,80,77,0.000672,-360e-3,80e-3
85,80,77,0.00068,-360e-3,80e-3
86,80,76,0.000688,-360e-3,40e-3
87,80,77,0.000696,-360e-3,80e-3
88,81,76,0.000704,-320e-3,40e-3
89,80,77,0.000712,-360e-3,80e-3
90,80,77,0.00072,-360e-3,80e-3
91,80,77,0.000728,-360e-3,80e-3
92,80,77,0.000736,-360e-3,80e-3
93,80,77,0.000744,-360e-3,80e-3
94,81,77,0.000752,-320e-3,80e-3
95,80,77,0.00076,-360e-3,80e-3
96,81,77,0.000768,-320e-3,80e-3
97,81,76,0.000776,-320e-3,40e-3
98,80,76,0.000784,-360e-3,40e-3
99,80,77,0.000792,-360e-3,80e-3
100,80,77,0.0008,-360e-3,80e-3
101,80,77,0.000808,-360e-3,80e-3
102,81,77,0.000816,-320e-3,80e-3
103,80,77,0.000824,-360e-3,80e-3
104,80,76,0.000832,-360e-3,40e-3
105,81,77,0.00084,-320e-3,80e-3
106,80,77,0.000848,-360e-3,80e-3
107,81,76,0.000856,-320e-3,40e-3
108,80,77,0.000864,-360e-3,80e-3
109,80,77,0.000872,-360e-3,80e-3
110,80,76,0.00088,-360e-3,40e-3
