# 20150403-141255_3maart.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -1.56 V ( -1.56V ) [-39]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -2.12 V ( -2.12V ) [-53]
# Timebase (time/DIV)  : 500e-9 s ( 500ns )
#  { screen range 18*(t/DIV)= 9us }
# Sampling rate (scope Acquire menu,2CH RealTime): 250e6 Hz [Sa/s] ( 250MHz )
#  {eqv.period: 4ns range: 6us }
# Sampling interval (scope USB FlashDrive .CSV)  : 4e-9 s ( 4ns )
#  {eqv.freq: 250MHz range: 6us }
# Sampling interval (screen_range/num_samples)   : 6e-9 s ( 6ns )
#  {eqv.freq: 166.666666666667MHz }
# Time Ranges 6e-06 <= 9e-06: assume portion +keep;
#  { final timestep: 4e-9 / 4ns {eqv.freq: 250MHz range 6us }}
# Oversample factor: 1.00 ( 1 0.666667 0 0.666666666666667 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 3 (Trig'd); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-560e-3,0) ; ch2 (0,4.2)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 1500 (ch1: 1500 ; ch2: 1500)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 500ns T/DIV2 500ns Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 1.64V mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,81,77,0,-320e-3,80e-3
1,79,76,4e-09,-400e-3,40e-3
2,81,76,8e-09,-320e-3,40e-3
3,79,76,1.2e-08,-400e-3,40e-3
4,81,77,1.6e-08,-320e-3,80e-3
5,79,76,2e-08,-400e-3,40e-3
6,81,76,2.4e-08,-320e-3,40e-3
7,79,76,2.8e-08,-400e-3,40e-3
8,81,77,3.2e-08,-320e-3,80e-3
9,79,76,3.6e-08,-400e-3,40e-3
10,81,77,4e-08,-320e-3,80e-3
11,79,76,4.4e-08,-400e-3,40e-3
12,82,77,4.8e-08,-280e-3,80e-3
13,79,76,5.2e-08,-400e-3,40e-3
14,80,77,5.6e-08,-360e-3,80e-3
15,79,76,6e-08,-400e-3,40e-3
16,81,77,6.4e-08,-320e-3,80e-3
17,79,76,6.8e-08,-400e-3,40e-3
18,80,77,7.2e-08,-360e-3,80e-3
19,79,76,7.6e-08,-400e-3,40e-3
20,81,77,8e-08,-320e-3,80e-3
21,79,76,8.4e-08,-400e-3,40e-3
22,80,76,8.8e-08,-360e-3,40e-3
23,78,76,9.2e-08,-440e-3,40e-3
24,81,77,9.6e-08,-320e-3,80e-3
25,79,76,1e-07,-400e-3,40e-3
26,81,77,1.04e-07,-320e-3,80e-3
27,79,76,1.08e-07,-400e-3,40e-3
28,80,77,1.12e-07,-360e-3,80e-3
29,80,76,1.16e-07,-360e-3,40e-3
30,81,77,1.2e-07,-320e-3,80e-3
31,79,76,1.24e-07,-400e-3,40e-3
32,81,76,1.28e-07,-320e-3,40e-3
33,80,75,1.32e-07,-360e-3,0
34,80,77,1.36e-07,-360e-3,80e-3
35,79,76,1.4e-07,-400e-3,40e-3
36,81,77,1.44e-07,-320e-3,80e-3
37,79,76,1.48e-07,-400e-3,40e-3
38,80,76,1.52e-07,-360e-3,40e-3
39,80,76,1.56e-07,-360e-3,40e-3
40,80,77,1.6e-07,-360e-3,80e-3
41,79,75,1.64e-07,-400e-3,0
42,81,77,1.68e-07,-320e-3,80e-3
43,80,76,1.72e-07,-360e-3,40e-3
44,80,77,1.76e-07,-360e-3,80e-3
