# 20150403-143042_3maart.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -1.56 V ( -1.56V ) [-39]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -2.12 V ( -2.12V ) [-53]
# Timebase (time/DIV)  : 500e-6 s ( 500us )
#  { screen range 18*(t/DIV)= 9ms }
# Sampling rate (scope Acquire menu,2CH RealTime): 1.25e6 Hz [Sa/s] ( 1.25MHz )
#  {eqv.period: 800ns range: 12.8ms }
# Sampling interval (scope USB FlashDrive .CSV)  : 800.0001e-9 s ( 800.0001ns )
#  {eqv.freq: 1.24999984375002MHz range: 12.8000016ms }
# Sampling interval (screen_range/num_samples)   : 562.5e-9 s ( 562.5ns )
#  {eqv.freq: 1.77777777777778MHz }
# Time Ranges 12.8ms > 9ms: assume resample +recalc;
#  { final timestep: 800e-9 / 800ns {eqv.freq: 1.25MHz range 12.8ms }}
# Oversample factor: 1.0 ( -- 1.422222 1 0.422222222222222 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 2 (Ready); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-400e-3,0) ; ch2 (-240e-3,3.64)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 16000 (ch1: 16000 ; ch2: 16000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 500us T/DIV2 500us Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 1.64V mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,80,77,0,-360e-3,80e-3
1,81,76,8e-07,-320e-3,40e-3
2,80,77,1.6e-06,-360e-3,80e-3
3,80,76,2.4e-06,-360e-3,40e-3
4,80,76,3.2e-06,-360e-3,40e-3
5,81,76,4e-06,-320e-3,40e-3
6,80,77,4.8e-06,-360e-3,80e-3
7,80,77,5.6e-06,-360e-3,80e-3
8,81,76,6.4e-06,-320e-3,40e-3
9,81,76,7.2e-06,-320e-3,40e-3
10,80,77,8e-06,-360e-3,80e-3
11,81,77,8.8e-06,-320e-3,80e-3
12,80,77,9.6e-06,-360e-3,80e-3
13,81,76,1.04e-05,-320e-3,40e-3
14,81,76,1.12e-05,-320e-3,40e-3
15,81,77,1.2e-05,-320e-3,80e-3
16,80,76,1.28e-05,-360e-3,40e-3
17,81,76,1.36e-05,-320e-3,40e-3
18,81,76,1.44e-05,-320e-3,40e-3
19,81,77,1.52e-05,-320e-3,80e-3
20,80,76,1.6e-05,-360e-3,40e-3
21,81,76,1.68e-05,-320e-3,40e-3
22,80,77,1.76e-05,-360e-3,80e-3
23,80,77,1.84e-05,-360e-3,80e-3
24,81,77,1.92e-05,-320e-3,80e-3
25,80,76,2e-05,-360e-3,40e-3
26,81,77,2.08e-05,-320e-3,80e-3
27,80,77,2.16e-05,-360e-3,80e-3
28,81,76,2.24e-05,-320e-3,40e-3
29,80,76,2.32e-05,-360e-3,40e-3
30,80,75,2.4e-05,-360e-3,0
31,80,76,2.48e-05,-360e-3,40e-3
32,80,77,2.56e-05,-360e-3,80e-3
33,80,77,2.64e-05,-360e-3,80e-3
34,81,76,2.72e-05,-320e-3,40e-3
35,80,76,2.8e-05,-360e-3,40e-3
36,81,76,2.88e-05,-320e-3,40e-3
37,80,76,2.96e-05,-360e-3,40e-3
38,81,76,3.04e-05,-320e-3,40e-3
39,80,77,3.12e-05,-360e-3,80e-3
40,80,76,3.2e-05,-360e-3,40e-3
41,80,77,3.28e-05,-360e-3,80e-3
42,80,76,3.36e-05,-360e-3,40e-3
43,81,76,3.44e-05,-320e-3,40e-3
44,80,77,3.52e-05,-360e-3,80e-3
45,81,76,3.6e-05,-320e-3,40e-3
46,81,77,3.68e-05,-320e-3,80e-3
47,80,77,3.76e-05,-360e-3,80e-3
48,81,77,3.84e-05,-320e-3,80e-3
49,80,77,3.92e-05,-360e-3,80e-3
50,80,77,4e-05,-360e-3,80e-3
51,81,77,4.08e-05,-320e-3,80e-3
52,80,76,4.16e-05,-360e-3,40e-3
53,81,77,4.24e-05,-320e-3,80e-3
54,80,77,4.32e-05,-360e-3,80e-3
55,80,76,4.4e-05,-360e-3,40e-3
56,80,77,4.48e-05,-360e-3,80e-3
57,80,77,4.56e-05,-360e-3,80e-3
58,80,76,4.64e-05,-360e-3,40e-3
