Record Length,16384
Sample Interval,CH1:0.0008000000000 CH2:0.0008000000000
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,1.0000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-6.55360000000,-0.36000,3.32000
-6.55280000000,-0.35600,3.32000
-6.55200000000,-0.36000,3.32000
-6.55120000000,-0.36000,3.32000
-6.55040000000,-0.35600,3.32000
-6.54960000000,-0.35200,3.32000
-6.54880000000,-0.36400,3.32000
-6.54800000000,-0.36400,3.32000
-6.54720000000,-0.36000,3.32000
-6.54640000000,-0.36400,3.32000
-6.54560000000,-0.36400,3.32000
-6.54480000000,-0.36000,3.32000
-6.54400000000,-0.36000,3.32000
-6.54320000000,-0.36400,3.32000
-6.54240000000,-0.36400,3.32000
-6.54160000000,-0.36400,3.32000
-6.54080000000,-0.36400,3.32000
-6.54000000000,-0.36400,3.32000
-6.53920000000,-0.36400,3.32000
-6.53840000000,-0.36400,3.32000
-6.53760000000,-0.36400,3.32000
-6.53680000000,-0.36000,3.32000
-6.53600000000,-0.36400,3.32000
-6.53520000000,-0.35600,3.32000
-6.53440000000,-0.35600,3.32000
-6.53360000000,-0.36000,3.32000
-6.53280000000,-0.36000,3.32000
-6.53200000000,-0.35600,3.32000
-6.53120000000,-0.36000,3.32000
-6.53040000000,-0.36800,3.32000
-6.52960000000,-0.35600,3.32000
-6.52880000000,-0.36400,3.32000
-6.52800000000,-0.36000,3.32000
-6.52719950000,-0.36400,3.32000
-6.52640000000,-0.36800,3.32000
-6.52560000000,-0.35600,3.32000
-6.52480000000,-0.35600,3.32000
-6.52400000000,-0.35600,3.32000
-6.52320000000,-0.36400,3.32000
-6.52240000000,-0.36400,3.32000
-6.52160000000,-0.35600,3.32000
-6.52080000000,-0.36800,3.32000
-6.52000000000,-0.35600,3.32000
-6.51920000000,-0.36800,3.32000
-6.51840000000,-0.36400,3.32000
-6.51760000000,-0.36400,3.32000
-6.51680000000,-0.36000,3.32000
-6.51600000000,-0.36000,3.32000
-6.51520000000,-0.36400,3.32000
-6.51440000000,-0.36400,3.32000
-6.51360000000,-0.35600,3.32000
-6.51280000000,-0.36000,3.32000
-6.51200000000,-0.36800,3.32000
-6.51120000000,-0.36000,3.32000
-6.51040000000,-0.36400,3.32000
-6.50960000000,-0.36400,3.32000
-6.50880000000,-0.36400,3.32000
-6.50800000000,-0.35600,3.32000
-6.50720000000,-0.35600,3.32000
-6.50640000000,-0.36400,3.32000
-6.50560000000,-0.35600,3.32000
-6.50480000000,-0.36000,3.32000
-6.50400000000,-0.35600,3.32000
-6.50320000000,-0.35200,3.32000
-6.50240000000,-0.36400,3.32000
-6.50160000000,-0.36000,3.32000
-6.50080000000,-0.36400,3.32000
-6.50000000000,-0.36400,3.32000
-6.49920000000,-0.36000,3.32000
-6.49840000000,-0.35600,3.32000
-6.49760000000,-0.36400,3.32000
-6.49680000000,-0.36400,3.32000
-6.49600000000,-0.35600,3.32000
-6.49520000000,-0.36400,3.32000
-6.49440000000,-0.36400,3.32000
-6.49360000000,-0.36400,3.32000
-6.49280000000,-0.35600,3.32000
-6.49200000000,-0.35200,3.32000
-6.49120000000,-0.35600,3.32000
-6.49040000000,-0.36000,3.32000
-6.48960000000,-0.35200,3.36000
-6.48880000000,-0.36400,3.32000
-6.48800000000,-0.36000,3.32000
-6.48720000000,-0.36400,3.32000
-6.48640000000,-0.35600,3.32000
-6.48560000000,-0.36400,3.32000
-6.48480000000,-0.35600,3.32000
-6.48400000000,-0.35600,3.32000
-6.48320000000,-0.35600,3.32000
-6.48240000000,-0.36400,3.32000
-6.48160000000,-0.36400,3.32000
-6.48080000000,-0.36400,3.32000
-6.48000000000,-0.35600,3.32000
-6.47920000000,-0.36400,3.32000
-6.47840000000,-0.36400,3.32000
-6.47760000000,-0.36800,3.32000
-6.47680000000,-0.36400,3.32000
-6.47600000000,-0.35600,3.32000
-6.47520000000,-0.36800,3.32000
-6.47440000000,-0.36400,3.32000
-6.47360000000,-0.35600,3.32000
-6.47280050000,-0.35600,3.36000
-6.47200000000,-0.36800,3.32000
-6.47120000000,-0.35600,3.32000
-6.47040000000,-0.35600,3.32000
-6.46960000000,-0.35600,3.32000
-6.46880000000,-0.35600,3.32000
-6.46800000000,-0.35600,3.32000
-6.46720050000,-0.35600,3.32000
-6.46640000000,-0.35600,3.32000
-6.46560000000,-0.36400,3.32000
-6.46480000000,-0.35200,3.32000
-6.46400000000,-0.36000,3.32000
-6.46320000000,-0.36400,3.32000
-6.46240000000,-0.36400,3.32000
-6.46160000000,-0.35600,3.32000
-6.46080000000,-0.36400,3.32000
-6.46000000000,-0.36400,3.32000
-6.45920000000,-0.36400,3.32000
-6.45840000000,-0.36400,3.32000
-6.45760000000,-0.36400,3.32000
-6.45680000000,-0.36400,3.32000
-6.45600000000,-0.36400,3.32000
-6.45520000000,-0.36000,3.32000
-6.45440000000,-0.36000,3.32000
-6.45360000000,-0.35600,3.36000
-6.45280050000,-0.36400,3.36000
-6.45200000000,-0.36400,3.32000
-6.45120000000,-0.36000,3.32000
-6.45040000000,-0.35200,3.32000
-6.44960000000,-0.36400,3.32000
-6.44880000000,-0.36000,3.32000
-6.44800000000,-0.35600,3.32000
-6.44720000000,-0.35600,3.32000
-6.44640000000,-0.36400,3.32000
-6.44560000000,-0.36000,3.36000
-6.44480000000,-0.36400,3.32000
-6.44400000000,-0.36400,3.32000
-6.44320000000,-0.36400,3.32000
-6.44240000000,-0.36000,3.32000
-6.44160000000,-0.36400,3.32000
-6.44080000000,-0.36800,3.32000
-6.44000000000,-0.36400,3.32000
-6.43920000000,-0.36800,3.32000
-6.43840050000,-0.36000,3.32000
-6.43760000000,-0.36800,3.32000
-6.43680000000,-0.36400,3.32000
-6.43600000000,-0.36400,3.32000
-6.43520000000,-0.36400,3.32000
-6.43440000000,-0.36400,3.32000
-6.43360000000,-0.36400,3.32000
-6.43280050000,-0.35600,3.32000
-6.43200000000,-0.36400,3.32000
-6.43120000000,-0.36000,3.32000
-6.43040000000,-0.35200,3.32000
-6.42960000000,-0.35600,3.32000
-6.42880000000,-0.36400,3.32000
-6.42800000000,-0.36000,3.32000
-6.42720050000,-0.36000,3.32000
-6.42640000000,-0.35600,3.32000
-6.42560000000,-0.36000,3.32000
-6.42480000000,-0.35600,3.32000
-6.42400050000,-0.35600,3.32000
-6.42320000000,-0.35600,3.32000
-6.42240000000,-0.36400,3.32000
-6.42160000000,-0.35600,3.32000
-6.42080000000,-0.36400,3.36000
-6.42000000000,-0.36400,3.32000
-6.41920000000,-0.36400,3.32000
-6.41840050000,-0.36800,3.32000
-6.41760000000,-0.35600,3.32000
-6.41680000000,-0.36000,3.32000
-6.41600000000,-0.36800,3.32000
-6.41520000000,-0.35600,3.32000
-6.41440000000,-0.35200,3.32000
-6.41360000000,-0.35600,3.32000
-6.41280050000,-0.36400,3.32000
-6.41200000000,-0.36000,3.32000
-6.41120000000,-0.36000,3.32000
-6.41040000000,-0.36400,3.32000
-6.40960050000,-0.36400,3.32000
-6.40880000000,-0.36800,3.32000
-6.40800000000,-0.36400,3.32000
-6.40720000000,-0.35600,3.32000
-6.40640000000,-0.36400,3.32000
-6.40560000000,-0.36400,3.32000
-6.40480000000,-0.35600,3.32000
-6.40400050000,-0.36400,3.32000
-6.40320000000,-0.36400,3.32000
-6.40240000000,-0.35600,3.32000
-6.40160000000,-0.36000,3.32000
-6.40080000000,-0.36800,3.32000
-6.40000000000,-0.36400,3.32000
-6.39919950000,-0.36400,3.32000
-6.39840000000,-0.36400,3.32000
-6.39759950000,-0.36400,3.32000
-6.39679950000,-0.36400,3.32000
-6.39599950000,-0.36400,3.32000
-6.39520000000,-0.36400,3.32000
-6.39439950000,-0.36400,3.32000
-6.39359950000,-0.35600,3.32000
-6.39280000000,-0.36400,3.32000
-6.39199950000,-0.36400,3.32000
-6.39119950000,-0.35600,3.32000
-6.39039950000,-0.35200,3.32000
-6.38960000000,-0.35600,3.32000
-6.38879950000,-0.36400,3.32000
-6.38799950000,-0.35600,3.32000
-6.38720000000,-0.35200,3.32000
-6.38639950000,-0.36400,3.32000
-6.38559950000,-0.36400,3.32000
-6.38479950000,-0.35600,3.32000
-6.38400000000,-0.36400,3.32000
-6.38319950000,-0.36400,3.32000
-6.38239950000,-0.36400,3.32000
-6.38159950000,-0.36400,3.32000
-6.38080000000,-0.36400,3.32000
-6.37999950000,-0.36800,3.32000
-6.37919950000,-0.36400,3.36000
-6.37840000000,-0.36400,3.32000
-6.37759950000,-0.36800,3.32000
-6.37679950000,-0.35600,3.32000
-6.37599950000,-0.36400,3.32000
-6.37520000000,-0.35600,3.32000
-6.37439950000,-0.36000,3.32000
-6.37359950000,-0.36400,3.32000
-6.37280000000,-0.35200,3.32000
-6.37199950000,-0.35600,3.32000
-6.37119950000,-0.36000,3.32000
-6.37039950000,-0.36400,3.32000
-6.36960000000,-0.35200,3.36000
-6.36879950000,-0.36000,3.32000
-6.36799950000,-0.36400,3.32000
-6.36719950000,-0.36000,3.32000
-6.36640000000,-0.36400,3.32000
-6.36559950000,-0.35600,3.32000
-6.36479950000,-0.36000,3.32000
