# 20150416-104323.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -480e-3 V ( -480mV ) [-12]
# Timebase (time/DIV)  : 1 s ( 1s )
#  { screen range 18*(t/DIV)= 18s }
# Sampling rate (scope Acquire menu,2CH RealTime): 2.5e3 Hz [Sa/s] ( 2.5kHz )
#  {eqv.period: 400us range: 2.4s }
# Sampling interval (scope USB FlashDrive .CSV)  : 2.0000001563e-3 s ( 2.0000001563ms )
#  {eqv.freq: 499.999960925003Hz range: 12.0000009378s }
# Sampling interval (screen_range/num_samples)   : 3e-3 s ( 3ms )
#  {eqv.freq: 333.333333333333Hz }
# Time Ranges 2.4 <= 18: assume portion +keep;
#  { final timestep: 2.0000001563e-3 / 2.0000001563ms {eqv.freq: 499.999960925003Hz range 12.0000009378s }}
# Oversample factor: 1.00 ( 0.199999984370001 0.133333 0 0.133333333333333 )
# Time offset: 1.29999995231628e-3 s ( 1.29999995231628ms )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 1 (Auto); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-240e-3,0) ; ch2 (-80e-3,3.4)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 6000 (ch1: 6000 ; ch2: 6000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 1s T/DIV2 1s Toffs 1.3ms
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 1 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 440mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,112,116,0,-240e-3,0
1,112,117,0.0020000001563,-240e-3,40e-3
2,112,116,0.0040000003126,-240e-3,0
3,113,116,0.0060000004689,-200e-3,0
4,112,116,0.0080000006252,-240e-3,0
5,113,116,0.0100000007815,-200e-3,0
6,112,116,0.0120000009378,-240e-3,0
7,113,116,0.0140000010941,-200e-3,0
8,113,116,0.0160000012504,-200e-3,0
9,113,116,0.0180000014067,-200e-3,0
10,112,116,0.020000001563,-240e-3,0
11,113,116,0.0220000017193,-200e-3,0
12,112,116,0.0240000018756,-240e-3,0
13,112,116,0.0260000020319,-240e-3,0
14,112,116,0.0280000021882,-240e-3,0
15,113,116,0.0300000023445,-200e-3,0
16,112,116,0.0320000025008,-240e-3,0
17,112,116,0.0340000026571,-240e-3,0
18,113,116,0.0360000028134,-200e-3,0
19,113,116,0.0380000029697,-200e-3,0
20,113,116,0.040000003126,-200e-3,0
21,113,116,0.0420000032823,-200e-3,0
22,112,116,0.0440000034386,-240e-3,0
23,112,116,0.0460000035949,-240e-3,0
24,112,116,0.0480000037512,-240e-3,0
25,113,116,0.0500000039075,-200e-3,0
26,112,116,0.0520000040638,-240e-3,0
27,112,116,0.0540000042201,-240e-3,0
28,112,116,0.0560000043764,-240e-3,0
29,112,116,0.0580000045327,-240e-3,0
30,112,116,0.060000004689,-240e-3,0
31,112,116,0.0620000048453,-240e-3,0
32,112,116,0.0640000050016,-240e-3,0
33,112,116,0.0660000051579,-240e-3,0
34,113,116,0.0680000053142,-200e-3,0
35,113,116,0.0700000054705,-200e-3,0
36,113,116,0.0720000056268,-200e-3,0
37,112,116,0.0740000057831,-240e-3,0
38,112,116,0.0760000059394,-240e-3,0
39,113,116,0.0780000060957,-200e-3,0
40,112,116,0.080000006252,-240e-3,0
41,112,116,0.0820000064083,-240e-3,0
42,112,116,0.0840000065646,-240e-3,0
43,112,116,0.0860000067209,-240e-3,0
44,112,116,0.0880000068772,-240e-3,0
45,112,116,0.0900000070335,-240e-3,0
46,112,116,0.0920000071898,-240e-3,0
47,112,116,0.0940000073461,-240e-3,0
48,112,116,0.0960000075024,-240e-3,0
49,113,116,0.0980000076587,-200e-3,0
50,112,116,0.100000007815,-240e-3,0
51,113,116,0.1020000079713,-200e-3,0
52,112,116,0.1040000081276,-240e-3,0
53,113,116,0.1060000082839,-200e-3,0
54,113,116,0.1080000084402,-200e-3,0
55,112,116,0.1100000085965,-240e-3,0
56,112,116,0.1120000087528,-240e-3,0
57,113,116,0.1140000089091,-200e-3,0
58,112,116,0.1160000090654,-240e-3,0
59,112,116,0.1180000092217,-240e-3,0
60,112,116,0.120000009378,-240e-3,0
61,113,116,0.1220000095343,-200e-3,0
62,112,116,0.1240000096906,-240e-3,0
63,112,116,0.1260000098469,-240e-3,0
64,112,116,0.1280000100032,-240e-3,0
65,113,116,0.1300000101595,-200e-3,0
66,113,116,0.1320000103158,-200e-3,0
67,112,116,0.1340000104721,-240e-3,0
68,112,116,0.1360000106284,-240e-3,0
69,112,116,0.1380000107847,-240e-3,0
70,112,116,0.140000010941,-240e-3,0
71,113,116,0.1420000110973,-200e-3,0
72,113,116,0.1440000112536,-200e-3,0
73,112,116,0.1460000114099,-240e-3,0
74,112,116,0.1480000115662,-240e-3,0
75,112,116,0.1500000117225,-240e-3,0
76,113,116,0.1520000118788,-200e-3,0
77,112,116,0.1540000120351,-240e-3,0
78,113,116,0.1560000121914,-200e-3,0
79,113,116,0.1580000123477,-200e-3,0
