Record Length,16384
Sample Interval,CH1:0.0000400000031 CH2:0.0000400000031
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:1.00 CH2:1.00,,
Vertical Offset,CH1:-1.56000 CH2:-2.12000,,
Horizontal Units,s,,
Horizontal Scale,0.0500000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-0.32768000000,-0.36000,0.08000
-0.32764000000,-0.36000,0.04000
-0.32760000000,-0.32000,0.08000
-0.32756000000,-0.36000,0.08000
-0.32752000000,-0.36000,0.08000
-0.32748003125,-0.32000,0.08000
-0.32744000000,-0.32000,0.04000
-0.32740000000,-0.36000,0.08000
-0.32736000000,-0.36000,0.08000
-0.32732000000,-0.36000,0.08000
-0.32728000000,-0.36000,0.08000
-0.32724000000,-0.36000,0.08000
-0.32720000000,-0.36000,0.04000
-0.32716000000,-0.36000,0.08000
-0.32712000000,-0.36000,0.04000
-0.32708000000,-0.36000,0.04000
-0.32704003125,-0.36000,0.08000
-0.32700000000,-0.32000,0.04000
-0.32696000000,-0.36000,0.08000
-0.32692000000,-0.36000,0.04000
-0.32688000000,-0.36000,0.04000
-0.32684000000,-0.36000,0.04000
-0.32680003125,-0.32000,0.04000
-0.32676000000,-0.32000,0.08000
-0.32672000000,-0.36000,0.08000
-0.32668000000,-0.36000,0.04000
-0.32664000000,-0.36000,0.04000
-0.32660000000,-0.36000,0.04000
-0.32656000000,-0.36000,0.08000
-0.32652000000,-0.32000,0.08000
-0.32648000000,-0.36000,0.04000
-0.32644000000,-0.36000,0.04000
-0.32640000000,-0.36000,0.08000
-0.32636003125,-0.36000,0.08000
-0.32632000000,-0.32000,0.08000
-0.32628000000,-0.32000,0.04000
-0.32624000000,-0.36000,0.04000
-0.32620000000,-0.36000,0.04000
-0.32616000000,-0.36000,0.04000
-0.32612003125,-0.36000,0.08000
-0.32608000000,-0.32000,0.04000
-0.32604000000,-0.36000,0.04000
-0.32600000000,-0.36000,0.04000
-0.32596000000,-0.36000,0.04000
-0.32592000000,-0.36000,0.04000
-0.32588000000,-0.36000,0.04000
-0.32584000000,-0.32000,0.04000
-0.32580000000,-0.36000,0.04000
-0.32576000000,-0.36000,0.08000
-0.32572000000,-0.36000,0.08000
-0.32568000000,-0.32000,0.08000
-0.32564000000,-0.36000,0.08000
-0.32560000000,-0.32000,0.08000
-0.32556000000,-0.36000,0.04000
-0.32552000000,-0.36000,0.08000
-0.32548000000,-0.32000,0.08000
-0.32544000000,-0.36000,0.04000
-0.32540000000,-0.36000,0.08000
-0.32536000000,-0.36000,0.08000
-0.32532000000,-0.36000,0.04000
-0.32528000000,-0.32000,0.08000
-0.32524003125,-0.36000,0.04000
-0.32520000000,-0.36000,0.08000
-0.32516000000,-0.36000,0.04000
-0.32512000000,-0.36000,0.08000
-0.32508000000,-0.36000,0.08000
-0.32504000000,-0.36000,0.08000
-0.32500000000,-0.36000,0.04000
-0.32496000000,-0.36000,0.08000
-0.32492000000,-0.36000,0.04000
-0.32488000000,-0.32000,0.08000
-0.32484000000,-0.36000,0.08000
-0.32480000000,-0.32000,0.04000
-0.32476000000,-0.36000,0.04000
-0.32472000000,-0.36000,0.08000
-0.32468000000,-0.36000,0.08000
-0.32464000000,-0.36000,0.08000
-0.32460000000,-0.36000,0.08000
-0.32456000000,-0.36000,0.04000
-0.32452000000,-0.32000,0.08000
-0.32448000000,-0.32000,0.08000
-0.32444000000,-0.36000,0.08000
-0.32440000000,-0.36000,0.08000
-0.32436000000,-0.32000,0.04000
-0.32432000000,-0.36000,0.04000
-0.32428000000,-0.36000,0.08000
-0.32424000000,-0.32000,0.04000
-0.32420000000,-0.36000,0.08000
-0.32416000000,-0.36000,0.08000
-0.32412000000,-0.36000,0.04000
-0.32408000000,-0.36000,0.08000
-0.32404000000,-0.36000,0.04000
-0.32400000000,-0.32000,0.04000
-0.32396003125,-0.36000,0.04000
-0.32392003125,-0.36000,0.04000
-0.32388003125,-0.32000,0.08000
-0.32384003125,-0.36000,0.04000
-0.32380003125,-0.36000,0.08000
-0.32376003125,-0.36000,0.08000
-0.32372003125,-0.36000,0.08000
-0.32368000000,-0.36000,0.04000
-0.32364003125,-0.36000,0.04000
-0.32360003125,-0.36000,0.04000
-0.32356003125,-0.32000,0.04000
-0.32352003125,-0.36000,0.08000
-0.32348003125,-0.32000,0.08000
-0.32344000000,-0.36000,0.04000
-0.32340003125,-0.36000,0.04000
-0.32336003125,-0.36000,0.04000
-0.32332003125,-0.36000,0.04000
-0.32328003125,-0.36000,0.08000
-0.32324003125,-0.36000,0.08000
-0.32320003125,-0.36000,0.04000
-0.32316003125,-0.36000,0.04000
-0.32312003125,-0.36000,0.08000
-0.32308003125,-0.32000,0.04000
-0.32304003125,-0.36000,0.08000
-0.32300000000,-0.36000,0.08000
-0.32296003125,-0.36000,0.04000
-0.32292003125,-0.36000,0.08000
-0.32288003125,-0.36000,0.04000
-0.32284003125,-0.36000,0.04000
-0.32280003125,-0.36000,0.04000
-0.32276003125,-0.32000,0.04000
-0.32272003125,-0.36000,0.04000
-0.32268003125,-0.36000,0.08000
-0.32264003125,-0.36000,0.08000
-0.32260003125,-0.36000,0.04000
-0.32256000000,-0.32000,0.04000
-0.32252003125,-0.36000,0.04000
-0.32248003125,-0.32000,0.08000
-0.32244003125,-0.36000,0.08000
-0.32240003125,-0.36000,0.08000
-0.32236003125,-0.36000,0.04000
-0.32232000000,-0.36000,0.08000
-0.32228003125,-0.36000,0.08000
-0.32224003125,-0.36000,0.08000
-0.32220003125,-0.32000,0.08000
-0.32216003125,-0.36000,0.04000
-0.32212003125,-0.36000,0.08000
-0.32208003125,-0.36000,0.08000
-0.32204003125,-0.36000,0.04000
-0.32200003125,-0.36000,0.04000
-0.32196003125,-0.32000,0.08000
-0.32192003125,-0.32000,0.04000
-0.32188000000,-0.32000,0.08000
-0.32184003125,-0.32000,0.04000
-0.32180003125,-0.36000,0.08000
-0.32176003125,-0.36000,0.08000
-0.32172003125,-0.36000,0.08000
-0.32168000000,-0.32000,0.04000
-0.32164000000,-0.36000,0.04000
-0.32160003125,-0.36000,0.08000
-0.32156003125,-0.32000,0.04000
-0.32152003125,-0.36000,0.04000
-0.32148003125,-0.32000,0.04000
-0.32144000000,-0.36000,0.08000
-0.32140003125,-0.32000,0.08000
-0.32136003125,-0.36000,0.04000
-0.32132003125,-0.36000,0.04000
-0.32128003125,-0.36000,0.04000
-0.32124000000,-0.32000,0.04000
-0.32120000000,-0.36000,0.04000
-0.32116003125,-0.36000,0.04000
-0.32112003125,-0.36000,0.08000
-0.32108003125,-0.32000,0.04000
-0.32104003125,-0.36000,0.04000
-0.32100000000,-0.32000,0.08000
-0.32096000000,-0.36000,0.08000
-0.32092003125,-0.36000,0.08000
-0.32088003125,-0.36000,0.04000
-0.32084003125,-0.36000,0.04000
-0.32080003125,-0.32000,0.08000
-0.32076000000,-0.32000,0.04000
-0.32072003125,-0.36000,0.08000
-0.32068003125,-0.36000,0.04000
-0.32064003125,-0.32000,0.04000
-0.32060003125,-0.36000,0.04000
-0.32056000000,-0.32000,0.04000
-0.32052000000,-0.36000,0.08000
-0.32048003125,-0.36000,0.08000
-0.32044003125,-0.36000,0.04000
-0.32040003125,-0.36000,0.08000
-0.32036003125,-0.36000,0.04000
-0.32032000000,-0.32000,0.08000
-0.32028000000,-0.36000,0.08000
-0.32024003125,-0.32000,0.04000
-0.32020003125,-0.36000,0.04000
-0.32016003125,-0.32000,0.04000
-0.32012003125,-0.32000,0.04000
-0.32008000000,-0.32000,0.04000
-0.32004003125,-0.36000,0.04000
-0.32000003125,-0.36000,0.04000
-0.31996003125,-0.36000,0.08000
-0.31992003125,-0.36000,0.04000
-0.31988000000,-0.32000,0.04000
-0.31984000000,-0.36000,0.04000
-0.31980003125,-0.36000,0.04000
-0.31976003125,-0.32000,0.08000
-0.31972003125,-0.36000,0.04000
-0.31968000000,-0.32000,0.08000
-0.31964000000,-0.32000,0.04000
-0.31960003125,-0.36000,0.08000
-0.31956003125,-0.36000,0.04000
-0.31952003125,-0.36000,0.04000
-0.31948003125,-0.36000,0.08000
-0.31944000000,-0.32000,0.04000
-0.31940000000,-0.36000,0.04000
-0.31936003125,-0.32000,0.08000
-0.31932003125,-0.36000,0.08000
-0.31928003125,-0.36000,0.08000
-0.31924003125,-0.36000,0.08000
-0.31920000000,-0.32000,0.04000
-0.31916000000,-0.36000,0.08000
-0.31912003125,-0.36000,0.08000
-0.31908003125,-0.32000,0.04000
-0.31904003125,-0.32000,0.08000
-0.31900000000,-0.32000,0.08000
-0.31896000000,-0.32000,0.08000
-0.31892003125,-0.32000,0.04000
-0.31888003125,-0.32000,0.08000
-0.31884003125,-0.36000,0.08000
-0.31880003125,-0.36000,0.08000
-0.31876000000,-0.32000,0.08000
-0.31872000000,-0.36000,0.08000
-0.31868003125,-0.36000,0.08000
-0.31864003125,-0.36000,0.08000
-0.31860003125,-0.36000,0.08000
-0.31856000000,-0.32000,0.08000
-0.31852000000,-0.36000,0.04000
-0.31848000000,-0.36000,0.08000
