# 20150407-145209.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: 0 V ( 0V ) [0]
# Timebase (time/DIV)  : 500e-3 s ( 500ms )
#  { screen range 18*(t/DIV)= 9s }
# Sampling rate (scope Acquire menu,2CH RealTime): 5e3 Hz [Sa/s] ( 5kHz )
#  {eqv.period: 200us range: 1.2s }
# Sampling interval (scope USB FlashDrive .CSV)  : 800e-6 s ( 800us )
#  {eqv.freq: 1.25kHz range: 4.8s }
# Sampling interval (screen_range/num_samples)   : 1.5e-3 s ( 1.5ms )
#  {eqv.freq: 666.666666666667Hz }
# Time Ranges 1.2 <= 9: assume portion +keep;
#  { final timestep: 800e-6 / 800us {eqv.freq: 1.25kHz range 4.8s }}
# Oversample factor: 1.00 ( 0.25 0.133333 0 0.133333333333333 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 1 (Auto); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-280e-3,0) ; ch2 (-240e-3,3.36)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 6000 (ch1: 6000 ; ch2: 6000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 500ms T/DIV2 500ms Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 480mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,113,211,0,-200e-3,3.32
1,112,211,0.0008,-240e-3,3.32
2,113,211,0.0016,-200e-3,3.32
3,113,211,0.0024,-200e-3,3.32
4,113,211,0.0032,-200e-3,3.32
5,112,211,0.004,-240e-3,3.32
6,112,211,0.0048,-240e-3,3.32
7,112,211,0.0056,-240e-3,3.32
8,112,211,0.0064,-240e-3,3.32
9,113,211,0.0072,-200e-3,3.32
10,112,211,0.008,-240e-3,3.32
11,112,211,0.0088,-240e-3,3.32
12,113,211,0.0096,-200e-3,3.32
13,113,211,0.0104,-200e-3,3.32
14,112,211,0.0112,-240e-3,3.32
15,113,211,0.012,-200e-3,3.32
16,112,211,0.0128,-240e-3,3.32
17,112,211,0.0136,-240e-3,3.32
18,112,211,0.0144,-240e-3,3.32
19,112,211,0.0152,-240e-3,3.32
20,112,211,0.016,-240e-3,3.32
21,113,211,0.0168,-200e-3,3.32
22,113,211,0.0176,-200e-3,3.32
23,112,210,0.0184,-240e-3,3.28
24,113,211,0.0192,-200e-3,3.32
25,112,211,0.02,-240e-3,3.32
26,113,211,0.0208,-200e-3,3.32
27,112,211,0.0216,-240e-3,3.32
28,112,211,0.0224,-240e-3,3.32
29,112,211,0.0232,-240e-3,3.32
30,112,211,0.024,-240e-3,3.32
31,113,211,0.0248,-200e-3,3.32
32,112,211,0.0256,-240e-3,3.32
33,112,211,0.0264,-240e-3,3.32
34,112,211,0.0272,-240e-3,3.32
35,112,211,0.028,-240e-3,3.32
36,112,211,0.0288,-240e-3,3.32
37,112,211,0.0296,-240e-3,3.32
38,112,211,0.0304,-240e-3,3.32
39,113,211,0.0312,-200e-3,3.32
40,112,211,0.032,-240e-3,3.32
41,113,211,0.0328,-200e-3,3.32
42,112,211,0.0336,-240e-3,3.32
43,112,211,0.0344,-240e-3,3.32
44,113,211,0.0352,-200e-3,3.32
45,112,211,0.036,-240e-3,3.32
46,113,211,0.0368,-200e-3,3.32
47,112,210,0.0376,-240e-3,3.28
48,112,211,0.0384,-240e-3,3.32
49,112,211,0.0392,-240e-3,3.32
50,112,211,0.04,-240e-3,3.32
51,112,210,0.0408,-240e-3,3.28
52,113,211,0.0416,-200e-3,3.32
53,112,211,0.0424,-240e-3,3.32
54,113,211,0.0432,-200e-3,3.32
55,112,211,0.044,-240e-3,3.32
56,112,211,0.0448,-240e-3,3.32
57,112,211,0.0456,-240e-3,3.32
58,112,211,0.0464,-240e-3,3.32
59,113,211,0.0472,-200e-3,3.32
60,113,211,0.048,-200e-3,3.32
61,112,211,0.0488,-240e-3,3.32
62,113,211,0.0496,-200e-3,3.32
63,112,211,0.0504,-240e-3,3.32
64,112,211,0.0512,-240e-3,3.32
65,112,211,0.052,-240e-3,3.32
66,112,211,0.0528,-240e-3,3.32
67,112,211,0.0536,-240e-3,3.32
68,112,211,0.0544,-240e-3,3.32
69,112,211,0.0552,-240e-3,3.32
70,113,211,0.056,-200e-3,3.32
71,113,211,0.0568,-200e-3,3.32
72,112,211,0.0576,-240e-3,3.32
73,113,211,0.0584,-200e-3,3.32
74,112,211,0.0592,-240e-3,3.32
75,113,211,0.06,-200e-3,3.32
76,113,211,0.0608,-200e-3,3.32
77,112,211,0.0616,-240e-3,3.32
78,112,211,0.0624,-240e-3,3.32
79,112,211,0.0632,-240e-3,3.32
80,113,211,0.064,-200e-3,3.32
81,112,211,0.0648,-240e-3,3.32
82,113,211,0.0656,-200e-3,3.32
83,112,211,0.0664,-240e-3,3.32
84,112,211,0.0672,-240e-3,3.32
85,112,211,0.068,-240e-3,3.32
86,113,211,0.0688,-200e-3,3.32
87,112,211,0.0696,-240e-3,3.32
88,112,211,0.0704,-240e-3,3.32
89,112,211,0.0712,-240e-3,3.32
90,112,211,0.072,-240e-3,3.32
91,112,211,0.0728,-240e-3,3.32
92,112,211,0.0736,-240e-3,3.32
