# 20150407-143804.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: 0 V ( 0V ) [0]
# Timebase (time/DIV)  : 500e-3 s ( 500ms )
#  { screen range 18*(t/DIV)= 9s }
# Sampling rate (scope Acquire menu,2CH RealTime): 5e3 Hz [Sa/s] ( 5kHz )
#  {eqv.period: 200us range: 1.2s }
# Sampling interval (scope USB FlashDrive .CSV)  : 800e-6 s ( 800us )
#  {eqv.freq: 1.25kHz range: 4.8s }
# Sampling interval (screen_range/num_samples)   : 1.5e-3 s ( 1.5ms )
#  {eqv.freq: 666.666666666667Hz }
# Time Ranges 1.2 <= 9: assume portion +keep;
#  { final timestep: 800e-6 / 800us {eqv.freq: 1.25kHz range 4.8s }}
# Oversample factor: 1.00 ( 0.25 0.133333 0 0.133333333333333 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 1 (Auto); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-400e-3,0) ; ch2 (-240e-3,3.56)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 6000 (ch1: 6000 ; ch2: 6000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 500ms T/DIV2 500ms Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 480mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,109,128,0,-360e-3,0
1,109,128,0.0008,-360e-3,0
2,109,128,0.0016,-360e-3,0
3,109,127,0.0024,-360e-3,-40e-3
4,109,128,0.0032,-360e-3,0
5,109,128,0.004,-360e-3,0
6,109,128,0.0048,-360e-3,0
7,109,128,0.0056,-360e-3,0
8,109,129,0.0064,-360e-3,40e-3
9,109,128,0.0072,-360e-3,0
10,109,129,0.008,-360e-3,40e-3
11,108,126,0.0088,-400e-3,-80e-3
12,109,128,0.0096,-360e-3,0
13,109,128,0.0104,-360e-3,0
14,109,128,0.0112,-360e-3,0
15,110,128,0.012,-320e-3,0
16,109,128,0.0128,-360e-3,0
17,109,128,0.0136,-360e-3,0
18,109,128,0.0144,-360e-3,0
19,109,128,0.0152,-360e-3,0
20,109,128,0.016,-360e-3,0
21,109,128,0.0168,-360e-3,0
22,109,128,0.0176,-360e-3,0
23,109,128,0.0184,-360e-3,0
24,109,128,0.0192,-360e-3,0
25,109,128,0.02,-360e-3,0
26,109,128,0.0208,-360e-3,0
27,109,128,0.0216,-360e-3,0
28,109,128,0.0224,-360e-3,0
29,109,128,0.0232,-360e-3,0
30,109,128,0.024,-360e-3,0
31,109,128,0.0248,-360e-3,0
32,109,128,0.0256,-360e-3,0
33,109,128,0.0264,-360e-3,0
34,109,128,0.0272,-360e-3,0
35,109,128,0.028,-360e-3,0
36,109,128,0.0288,-360e-3,0
37,109,128,0.0296,-360e-3,0
38,109,128,0.0304,-360e-3,0
39,109,128,0.0312,-360e-3,0
40,109,128,0.032,-360e-3,0
41,109,128,0.0328,-360e-3,0
42,109,128,0.0336,-360e-3,0
43,109,128,0.0344,-360e-3,0
44,109,128,0.0352,-360e-3,0
45,109,128,0.036,-360e-3,0
46,109,128,0.0368,-360e-3,0
47,109,128,0.0376,-360e-3,0
48,109,128,0.0384,-360e-3,0
49,109,128,0.0392,-360e-3,0
50,109,128,0.04,-360e-3,0
51,109,128,0.0408,-360e-3,0
52,109,128,0.0416,-360e-3,0
53,109,128,0.0424,-360e-3,0
54,109,128,0.0432,-360e-3,0
55,109,128,0.044,-360e-3,0
