# 20150421-171805.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -480e-3 V ( -480mV ) [-12]
# Timebase (time/DIV)  : 5e-3 s ( 5ms )
#  { screen range 18*(t/DIV)= 90ms }
# Sampling rate (scope Acquire menu,2CH RealTime): 125e3 Hz [Sa/s] ( 125kHz )
#  {eqv.period: 8us range: 128ms }
# Sampling interval (scope USB FlashDrive .CSV)  : 8e-6 s ( 8us )
#  {eqv.freq: 125kHz range: 128ms }
# Sampling interval (screen_range/num_samples)   : 5.625e-6 s ( 5.625us )
#  {eqv.freq: 177.777777777778kHz }
# Time Ranges 128ms > 90ms: assume resample +recalc;
#  { final timestep: 8e-6 / 8us {eqv.freq: 125kHz range 128ms }}
# Oversample factor: 1.0 ( -- 1.422222 1 0.422222222222222 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 2 (Ready); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-400e-3,0) ; ch2 (-280e-3,3.52)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 16000 (ch1: 16000 ; ch2: 16000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 5ms T/DIV2 5ms Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 440mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,113,117,0,-200e-3,40e-3
1,112,117,8e-06,-240e-3,40e-3
2,112,117,1.6e-05,-240e-3,40e-3
3,112,117,2.4e-05,-240e-3,40e-3
4,112,117,3.2e-05,-240e-3,40e-3
5,112,117,4e-05,-240e-3,40e-3
6,112,116,4.8e-05,-240e-3,0
7,112,117,5.6e-05,-240e-3,40e-3
8,112,116,6.4e-05,-240e-3,0
9,112,117,7.2e-05,-240e-3,40e-3
10,112,117,8e-05,-240e-3,40e-3
11,112,116,8.8e-05,-240e-3,0
12,112,116,9.6e-05,-240e-3,0
13,112,117,0.000104,-240e-3,40e-3
14,113,117,0.000112,-200e-3,40e-3
15,112,117,0.00012,-240e-3,40e-3
16,112,116,0.000128,-240e-3,0
17,112,117,0.000136,-240e-3,40e-3
18,112,117,0.000144,-240e-3,40e-3
19,112,117,0.000152,-240e-3,40e-3
20,113,117,0.00016,-200e-3,40e-3
21,112,116,0.000168,-240e-3,0
22,112,117,0.000176,-240e-3,40e-3
23,112,117,0.000184,-240e-3,40e-3
24,112,117,0.000192,-240e-3,40e-3
25,112,117,0.0002,-240e-3,40e-3
26,113,117,0.000208,-200e-3,40e-3
27,112,117,0.000216,-240e-3,40e-3
28,112,116,0.000224,-240e-3,0
29,113,117,0.000232,-200e-3,40e-3
30,112,116,0.00024,-240e-3,0
31,112,117,0.000248,-240e-3,40e-3
32,112,117,0.000256,-240e-3,40e-3
33,112,116,0.000264,-240e-3,0
34,112,116,0.000272,-240e-3,0
35,112,116,0.00028,-240e-3,0
36,112,117,0.000288,-240e-3,40e-3
37,112,117,0.000296,-240e-3,40e-3
38,113,117,0.000304,-200e-3,40e-3
39,112,117,0.000312,-240e-3,40e-3
40,112,117,0.00032,-240e-3,40e-3
41,112,117,0.000328,-240e-3,40e-3
42,112,116,0.000336,-240e-3,0
43,112,116,0.000344,-240e-3,0
44,112,117,0.000352,-240e-3,40e-3
45,112,117,0.00036,-240e-3,40e-3
46,112,116,0.000368,-240e-3,0
47,112,116,0.000376,-240e-3,0
48,112,117,0.000384,-240e-3,40e-3
49,112,117,0.000392,-240e-3,40e-3
50,112,117,0.0004,-240e-3,40e-3
51,112,117,0.000408,-240e-3,40e-3
52,112,117,0.000416,-240e-3,40e-3
53,112,117,0.000424,-240e-3,40e-3
54,112,116,0.000432,-240e-3,0
55,112,117,0.00044,-240e-3,40e-3
56,112,117,0.000448,-240e-3,40e-3
57,112,117,0.000456,-240e-3,40e-3
58,112,116,0.000464,-240e-3,0
59,112,117,0.000472,-240e-3,40e-3
60,112,116,0.00048,-240e-3,0
61,112,116,0.000488,-240e-3,0
62,112,116,0.000496,-240e-3,0
63,112,117,0.000504,-240e-3,40e-3
64,112,117,0.000512,-240e-3,40e-3
65,112,116,0.00052,-240e-3,0
66,112,117,0.000528,-240e-3,40e-3
67,112,116,0.000536,-240e-3,0
68,112,116,0.000544,-240e-3,0
69,112,116,0.000552,-240e-3,0
70,112,117,0.00056,-240e-3,40e-3
71,112,117,0.000568,-240e-3,40e-3
72,112,116,0.000576,-240e-3,0
73,112,117,0.000584,-240e-3,40e-3
74,112,117,0.000592,-240e-3,40e-3
75,112,117,0.0006,-240e-3,40e-3
76,112,117,0.000608,-240e-3,40e-3
77,112,117,0.000616,-240e-3,40e-3
78,112,117,0.000624,-240e-3,40e-3
79,112,117,0.000632,-240e-3,40e-3
80,112,116,0.00064,-240e-3,0
81,112,117,0.000648,-240e-3,40e-3
82,112,117,0.000656,-240e-3,40e-3
83,112,117,0.000664,-240e-3,40e-3
84,112,116,0.000672,-240e-3,0
85,112,117,0.00068,-240e-3,40e-3
86,112,117,0.000688,-240e-3,40e-3
87,112,117,0.000696,-240e-3,40e-3
88,112,117,0.000704,-240e-3,40e-3
89,112,116,0.000712,-240e-3,0
90,112,116,0.00072,-240e-3,0
91,112,117,0.000728,-240e-3,40e-3
92,112,117,0.000736,-240e-3,40e-3
93,112,117,0.000744,-240e-3,40e-3
94,112,116,0.000752,-240e-3,0
