# 20150504-101153.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -480e-3 V ( -480mV ) [-12]
# Timebase (time/DIV)  : 5e-3 s ( 5ms )
#  { screen range 18*(t/DIV)= 90ms }
# Sampling rate (scope Acquire menu,2CH RealTime): 125e3 Hz [Sa/s] ( 125kHz )
#  {eqv.period: 8us range: 128ms }
# Sampling interval (scope USB FlashDrive .CSV)  : 8e-6 s ( 8us )
#  {eqv.freq: 125kHz range: 128ms }
# Sampling interval (screen_range/num_samples)   : 5.625e-6 s ( 5.625us )
#  {eqv.freq: 177.777777777778kHz }
# Time Ranges 128ms > 90ms: assume resample +recalc;
#  { final timestep: 8e-6 / 8us {eqv.freq: 125kHz range 128ms }}
# Oversample factor: 1.0 ( -- 1.422222 1 0.422222222222222 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 2 (Ready); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-560e-3,0) ; ch2 (-240e-3,3.52)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 16000 (ch1: 16000 ; ch2: 16000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 5ms T/DIV2 5ms Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 800mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,110,116,0,-320e-3,0
1,109,116,8e-06,-360e-3,0
2,109,117,1.6e-05,-360e-3,40e-3
3,109,116,2.4e-05,-360e-3,0
4,109,116,3.2e-05,-360e-3,0
5,109,116,4e-05,-360e-3,0
6,109,117,4.8e-05,-360e-3,40e-3
7,109,116,5.6e-05,-360e-3,0
8,109,116,6.4e-05,-360e-3,0
9,109,116,7.2e-05,-360e-3,0
10,109,116,8e-05,-360e-3,0
11,109,117,8.8e-05,-360e-3,40e-3
12,110,116,9.6e-05,-320e-3,0
13,109,116,0.000104,-360e-3,0
14,109,116,0.000112,-360e-3,0
15,109,116,0.00012,-360e-3,0
16,109,116,0.000128,-360e-3,0
17,109,117,0.000136,-360e-3,40e-3
18,109,116,0.000144,-360e-3,0
19,109,116,0.000152,-360e-3,0
20,109,116,0.00016,-360e-3,0
21,109,116,0.000168,-360e-3,0
22,109,117,0.000176,-360e-3,40e-3
23,109,116,0.000184,-360e-3,0
24,109,116,0.000192,-360e-3,0
25,109,116,0.0002,-360e-3,0
26,109,116,0.000208,-360e-3,0
27,109,116,0.000216,-360e-3,0
28,109,116,0.000224,-360e-3,0
29,109,116,0.000232,-360e-3,0
30,109,116,0.00024,-360e-3,0
31,109,116,0.000248,-360e-3,0
32,109,116,0.000256,-360e-3,0
33,109,116,0.000264,-360e-3,0
34,109,117,0.000272,-360e-3,40e-3
35,109,116,0.00028,-360e-3,0
36,109,116,0.000288,-360e-3,0
37,110,116,0.000296,-320e-3,0
38,109,116,0.000304,-360e-3,0
39,109,116,0.000312,-360e-3,0
40,109,117,0.00032,-360e-3,40e-3
41,109,116,0.000328,-360e-3,0
42,109,116,0.000336,-360e-3,0
43,109,116,0.000344,-360e-3,0
44,109,116,0.000352,-360e-3,0
45,109,116,0.00036,-360e-3,0
46,109,116,0.000368,-360e-3,0
47,109,116,0.000376,-360e-3,0
48,109,116,0.000384,-360e-3,0
49,109,116,0.000392,-360e-3,0
50,109,116,0.0004,-360e-3,0
51,109,116,0.000408,-360e-3,0
52,109,116,0.000416,-360e-3,0
53,109,118,0.000424,-360e-3,80e-3
54,109,116,0.000432,-360e-3,0
55,109,116,0.00044,-360e-3,0
56,109,116,0.000448,-360e-3,0
57,109,116,0.000456,-360e-3,0
58,109,116,0.000464,-360e-3,0
59,109,116,0.000472,-360e-3,0
60,109,117,0.00048,-360e-3,40e-3
61,110,116,0.000488,-320e-3,0
62,109,116,0.000496,-360e-3,0
63,109,116,0.000504,-360e-3,0
64,109,116,0.000512,-360e-3,0
65,109,116,0.00052,-360e-3,0
66,109,116,0.000528,-360e-3,0
67,109,116,0.000536,-360e-3,0
68,109,116,0.000544,-360e-3,0
69,109,116,0.000552,-360e-3,0
70,109,116,0.00056,-360e-3,0
71,109,116,0.000568,-360e-3,0
72,109,116,0.000576,-360e-3,0
73,109,116,0.000584,-360e-3,0
74,110,116,0.000592,-320e-3,0
75,109,116,0.0006,-360e-3,0
76,109,116,0.000608,-360e-3,0
77,109,116,0.000616,-360e-3,0
78,109,116,0.000624,-360e-3,0
79,109,116,0.000632,-360e-3,0
80,109,117,0.00064,-360e-3,40e-3
81,109,116,0.000648,-360e-3,0
82,109,117,0.000656,-360e-3,40e-3
83,109,116,0.000664,-360e-3,0
84,109,117,0.000672,-360e-3,40e-3
85,109,116,0.00068,-360e-3,0
86,109,117,0.000688,-360e-3,40e-3
87,109,116,0.000696,-360e-3,0
88,109,116,0.000704,-360e-3,0
89,109,116,0.000712,-360e-3,0
90,109,116,0.00072,-360e-3,0
91,109,116,0.000728,-360e-3,0
92,109,116,0.000736,-360e-3,0
93,109,116,0.000744,-360e-3,0
94,109,117,0.000752,-360e-3,40e-3
95,109,116,0.00076,-360e-3,0
96,109,116,0.000768,-360e-3,0
97,109,116,0.000776,-360e-3,0
98,109,116,0.000784,-360e-3,0
99,109,116,0.000792,-360e-3,0
100,109,116,0.0008,-360e-3,0
101,109,116,0.000808,-360e-3,0
102,109,116,0.000816,-360e-3,0
103,109,116,0.000824,-360e-3,0
104,109,116,0.000832,-360e-3,0
105,109,116,0.00084,-360e-3,0
106,110,116,0.000848,-320e-3,0
107,109,116,0.000856,-360e-3,0
108,109,116,0.000864,-360e-3,0
109,109,116,0.000872,-360e-3,0
110,109,116,0.00088,-360e-3,0
111,110,116,0.000888,-320e-3,0
112,110,118,0.000896,-320e-3,80e-3
113,110,116,0.000904,-320e-3,0
114,109,116,0.000912,-360e-3,0
115,109,116,0.00092,-360e-3,0
116,109,116,0.000928,-360e-3,0
117,109,116,0.000936,-360e-3,0
118,109,116,0.000944,-360e-3,0
119,109,116,0.000952,-360e-3,0
120,109,116,0.00096,-360e-3,0
121,109,116,0.000968,-360e-3,0
122,109,116,0.000976,-360e-3,0
123,109,116,0.000984,-360e-3,0
124,109,117,0.000992,-360e-3,40e-3
125,110,116,0.001,-320e-3,0
126,109,116,0.001008,-360e-3,0
127,109,116,0.001016,-360e-3,0
128,109,116,0.001024,-360e-3,0
129,109,116,0.001032,-360e-3,0
130,109,116,0.00104,-360e-3,0
131,109,116,0.001048,-360e-3,0
132,109,117,0.001056,-360e-3,40e-3
133,110,116,0.001064,-320e-3,0
134,109,116,0.001072,-360e-3,0
135,109,116,0.00108,-360e-3,0
136,109,116,0.001088,-360e-3,0
137,109,116,0.001096,-360e-3,0
138,109,116,0.001104,-360e-3,0
139,109,116,0.001112,-360e-3,0
140,109,116,0.00112,-360e-3,0
141,109,116,0.001128,-360e-3,0
142,109,116,0.001136,-360e-3,0
143,109,116,0.001144,-360e-3,0
144,110,116,0.001152,-320e-3,0
145,109,116,0.00116,-360e-3,0
146,109,116,0.001168,-360e-3,0
147,109,116,0.001176,-360e-3,0
148,109,116,0.001184,-360e-3,0
149,109,116,0.001192,-360e-3,0
150,109,116,0.0012,-360e-3,0
151,109,116,0.001208,-360e-3,0
152,109,116,0.001216,-360e-3,0
153,109,116,0.001224,-360e-3,0
154,110,116,0.001232,-320e-3,0
155,109,116,0.00124,-360e-3,0
156,109,116,0.001248,-360e-3,0
157,109,116,0.001256,-360e-3,0
158,109,116,0.001264,-360e-3,0
159,109,116,0.001272,-360e-3,0
160,109,116,0.00128,-360e-3,0
161,109,116,0.001288,-360e-3,0
162,109,116,0.001296,-360e-3,0
163,109,117,0.001304,-360e-3,40e-3
164,109,116,0.001312,-360e-3,0
165,109,116,0.00132,-360e-3,0
166,109,116,0.001328,-360e-3,0
167,109,116,0.001336,-360e-3,0
168,109,116,0.001344,-360e-3,0
169,109,116,0.001352,-360e-3,0
170,109,116,0.00136,-360e-3,0
171,109,116,0.001368,-360e-3,0
172,109,116,0.001376,-360e-3,0
173,109,116,0.001384,-360e-3,0
174,110,116,0.001392,-320e-3,0
175,109,116,0.0014,-360e-3,0
176,109,116,0.001408,-360e-3,0
177,109,116,0.001416,-360e-3,0
178,109,116,0.001424,-360e-3,0
179,109,116,0.001432,-360e-3,0
180,110,116,0.00144,-320e-3,0
181,109,116,0.001448,-360e-3,0
182,109,116,0.001456,-360e-3,0
183,109,116,0.001464,-360e-3,0
184,109,116,0.001472,-360e-3,0
185,109,116,0.00148,-360e-3,0
186,110,116,0.001488,-320e-3,0
187,109,116,0.001496,-360e-3,0
188,109,116,0.001504,-360e-3,0
189,109,116,0.001512,-360e-3,0
190,109,116,0.00152,-360e-3,0
191,109,116,0.001528,-360e-3,0
192,110,116,0.001536,-320e-3,0
193,109,116,0.001544,-360e-3,0
194,109,116,0.001552,-360e-3,0
195,109,117,0.00156,-360e-3,40e-3
196,110,116,0.001568,-320e-3,0
197,109,116,0.001576,-360e-3,0
198,109,116,0.001584,-360e-3,0
199,109,116,0.001592,-360e-3,0
200,109,116,0.0016,-360e-3,0
201,109,116,0.001608,-360e-3,0
202,109,116,0.001616,-360e-3,0
203,109,116,0.001624,-360e-3,0
204,109,116,0.001632,-360e-3,0
205,110,116,0.00164,-320e-3,0
206,109,116,0.001648,-360e-3,0
207,109,116,0.001656,-360e-3,0
208,109,116,0.001664,-360e-3,0
209,110,116,0.001672,-320e-3,0
210,109,116,0.00168,-360e-3,0
211,110,116,0.001688,-320e-3,0
212,109,116,0.001696,-360e-3,0
213,110,116,0.001704,-320e-3,0
214,109,116,0.001712,-360e-3,0
215,109,116,0.00172,-360e-3,0
216,109,116,0.001728,-360e-3,0
217,109,116,0.001736,-360e-3,0
218,109,116,0.001744,-360e-3,0
219,110,116,0.001752,-320e-3,0
220,109,116,0.00176,-360e-3,0
221,109,116,0.001768,-360e-3,0
222,109,116,0.001776,-360e-3,0
223,109,116,0.001784,-360e-3,0
224,109,116,0.001792,-360e-3,0
225,109,116,0.0018,-360e-3,0
226,109,116,0.001808,-360e-3,0
227,109,116,0.001816,-360e-3,0
228,109,116,0.001824,-360e-3,0
229,109,116,0.001832,-360e-3,0
230,109,116,0.00184,-360e-3,0
231,109,116,0.001848,-360e-3,0
