# 20150504-104916.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -480e-3 V ( -480mV ) [-12]
# Timebase (time/DIV)  : 500e-6 s ( 500us )
#  { screen range 18*(t/DIV)= 9ms }
# Sampling rate (scope Acquire menu,2CH RealTime): 1.25e6 Hz [Sa/s] ( 1.25MHz )
#  {eqv.period: 800ns range: 12.8ms }
# Sampling interval (scope USB FlashDrive .CSV)  : 800.0001e-9 s ( 800.0001ns )
#  {eqv.freq: 1.24999984375002MHz range: 12.8000016ms }
# Sampling interval (screen_range/num_samples)   : 562.5e-9 s ( 562.5ns )
#  {eqv.freq: 1.77777777777778MHz }
# Time Ranges 12.8ms > 9ms: assume resample +recalc;
#  { final timestep: 800e-9 / 800ns {eqv.freq: 1.25MHz range 12.8ms }}
# Oversample factor: 1.0 ( -- 1.422222 1 0.422222222222222 )
# Time offset: 1.29999995231628e-3 s ( 1.29999995231628ms )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 3 (Trig'd); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-400e-3,0) ; ch2 (-280e-3,3.52)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 16000 (ch1: 16000 ; ch2: 16000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 500us T/DIV2 500us Toffs 1.3ms
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 800mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,109,116,0,-360e-3,0
1,109,116,8e-07,-360e-3,0
2,110,116,1.6e-06,-320e-3,0
3,109,116,2.4e-06,-360e-3,0
4,109,116,3.2e-06,-360e-3,0
5,109,116,4e-06,-360e-3,0
6,109,116,4.8e-06,-360e-3,0
7,109,116,5.6e-06,-360e-3,0
8,109,116,6.4e-06,-360e-3,0
9,109,116,7.2e-06,-360e-3,0
10,109,116,8e-06,-360e-3,0
11,109,116,8.8e-06,-360e-3,0
12,109,116,9.6e-06,-360e-3,0
13,109,116,1.04e-05,-360e-3,0
14,109,116,1.12e-05,-360e-3,0
15,109,116,1.2e-05,-360e-3,0
16,109,116,1.28e-05,-360e-3,0
17,110,116,1.36e-05,-320e-3,0
18,109,116,1.44e-05,-360e-3,0
19,109,116,1.52e-05,-360e-3,0
20,109,116,1.6e-05,-360e-3,0
21,109,116,1.68e-05,-360e-3,0
22,109,116,1.76e-05,-360e-3,0
23,109,116,1.84e-05,-360e-3,0
24,109,116,1.92e-05,-360e-3,0
25,110,116,2e-05,-320e-3,0
26,109,116,2.08e-05,-360e-3,0
27,109,116,2.16e-05,-360e-3,0
28,110,116,2.24e-05,-320e-3,0
29,109,116,2.32e-05,-360e-3,0
30,109,116,2.4e-05,-360e-3,0
31,109,116,2.48e-05,-360e-3,0
32,109,116,2.56e-05,-360e-3,0
33,109,116,2.64e-05,-360e-3,0
34,109,116,2.72e-05,-360e-3,0
35,109,116,2.8e-05,-360e-3,0
36,110,116,2.88e-05,-320e-3,0
37,110,116,2.96e-05,-320e-3,0
38,109,116,3.04e-05,-360e-3,0
39,109,116,3.12e-05,-360e-3,0
40,109,116,3.2e-05,-360e-3,0
41,109,116,3.28e-05,-360e-3,0
42,109,116,3.36e-05,-360e-3,0
43,110,116,3.44e-05,-320e-3,0
44,109,116,3.52e-05,-360e-3,0
45,109,116,3.6e-05,-360e-3,0
46,109,116,3.68e-05,-360e-3,0
47,109,116,3.76e-05,-360e-3,0
48,109,117,3.84e-05,-360e-3,40e-3
49,109,116,3.92e-05,-360e-3,0
50,109,116,4e-05,-360e-3,0
51,109,116,4.08e-05,-360e-3,0
52,110,116,4.16e-05,-320e-3,0
53,109,116,4.24e-05,-360e-3,0
54,109,116,4.32e-05,-360e-3,0
55,109,116,4.4e-05,-360e-3,0
56,109,116,4.48e-05,-360e-3,0
57,109,116,4.56e-05,-360e-3,0
58,109,116,4.64e-05,-360e-3,0
59,109,116,4.72e-05,-360e-3,0
60,109,116,4.8e-05,-360e-3,0
61,109,116,4.88e-05,-360e-3,0
62,109,116,4.96e-05,-360e-3,0
63,109,116,5.04e-05,-360e-3,0
