# 20150503-201330.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -480e-3 V ( -480mV ) [-12]
# Timebase (time/DIV)  : 10e-3 s ( 10ms )
#  { screen range 18*(t/DIV)= 180ms }
# Sampling rate (scope Acquire menu,2CH RealTime): 50e3 Hz [Sa/s] ( 50kHz )
#  {eqv.period: 20us range: 320ms }
# Sampling interval (scope USB FlashDrive .CSV)  : 20e-6 s ( 20us )
#  {eqv.freq: 50kHz range: 320ms }
# Sampling interval (screen_range/num_samples)   : 11.25e-6 s ( 11.25us )
#  {eqv.freq: 88.8888888888889kHz }
# Time Ranges 320ms > 180ms: assume resample +recalc;
#  { final timestep: 20e-6 / 20us {eqv.freq: 50kHz range 320ms }}
# Oversample factor: 1.0 ( -- 1.777778 1 0.777777777777778 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 2 (Ready); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-400e-3,0) ; ch2 (-280e-3,3.52)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 16000 (ch1: 16000 ; ch2: 16000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 10ms T/DIV2 10ms Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 800mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,109,116,0,-360e-3,0
1,109,116,2e-05,-360e-3,0
2,109,116,4e-05,-360e-3,0
3,109,116,6e-05,-360e-3,0
4,109,116,8e-05,-360e-3,0
5,109,116,0.0001,-360e-3,0
6,109,116,0.00012,-360e-3,0
7,109,116,0.00014,-360e-3,0
8,109,116,0.00016,-360e-3,0
9,109,116,0.00018,-360e-3,0
10,109,116,0.0002,-360e-3,0
11,109,116,0.00022,-360e-3,0
12,109,116,0.00024,-360e-3,0
13,109,116,0.00026,-360e-3,0
14,109,116,0.00028,-360e-3,0
15,109,116,0.0003,-360e-3,0
16,109,116,0.00032,-360e-3,0
17,109,116,0.00034,-360e-3,0
18,109,116,0.00036,-360e-3,0
19,109,116,0.00038,-360e-3,0
20,109,116,0.0004,-360e-3,0
21,109,116,0.00042,-360e-3,0
22,109,116,0.00044,-360e-3,0
23,109,116,0.00046,-360e-3,0
24,109,116,0.00048,-360e-3,0
25,109,116,0.0005,-360e-3,0
26,109,116,0.00052,-360e-3,0
27,109,116,0.00054,-360e-3,0
28,109,116,0.00056,-360e-3,0
29,109,116,0.00058,-360e-3,0
30,109,116,0.0006,-360e-3,0
31,109,116,0.00062,-360e-3,0
32,109,116,0.00064,-360e-3,0
33,109,116,0.00066,-360e-3,0
34,109,116,0.00068,-360e-3,0
35,109,116,0.0007,-360e-3,0
36,109,116,0.00072,-360e-3,0
37,109,116,0.00074,-360e-3,0
38,109,116,0.00076,-360e-3,0
39,109,116,0.00078,-360e-3,0
40,109,116,0.0008,-360e-3,0
41,109,116,0.00082,-360e-3,0
42,110,116,0.00084,-320e-3,0
43,109,116,0.00086,-360e-3,0
44,109,116,0.00088,-360e-3,0
45,109,116,0.0009,-360e-3,0
46,109,116,0.00092,-360e-3,0
47,109,116,0.00094,-360e-3,0
48,109,116,0.00096,-360e-3,0
49,109,116,0.00098,-360e-3,0
50,109,116,0.001,-360e-3,0
51,109,116,0.00102,-360e-3,0
52,109,116,0.00104,-360e-3,0
53,109,116,0.00106,-360e-3,0
54,109,116,0.00108,-360e-3,0
55,109,116,0.0011,-360e-3,0
56,109,116,0.00112,-360e-3,0
57,110,116,0.00114,-320e-3,0
58,109,116,0.00116,-360e-3,0
59,109,116,0.00118,-360e-3,0
60,109,116,0.0012,-360e-3,0
61,109,116,0.00122,-360e-3,0
62,109,116,0.00124,-360e-3,0
63,109,116,0.00126,-360e-3,0
64,109,116,0.00128,-360e-3,0
65,109,116,0.0013,-360e-3,0
66,109,116,0.00132,-360e-3,0
67,109,116,0.00134,-360e-3,0
68,109,116,0.00136,-360e-3,0
69,109,116,0.00138,-360e-3,0
70,109,116,0.0014,-360e-3,0
71,109,116,0.00142,-360e-3,0
72,109,116,0.00144,-360e-3,0
73,109,116,0.00146,-360e-3,0
74,109,116,0.00148,-360e-3,0
75,109,116,0.0015,-360e-3,0
76,109,116,0.00152,-360e-3,0
77,109,116,0.00154,-360e-3,0
78,109,116,0.00156,-360e-3,0
79,109,116,0.00158,-360e-3,0
80,109,116,0.0016,-360e-3,0
81,109,116,0.00162,-360e-3,0
82,109,116,0.00164,-360e-3,0
83,109,116,0.00166,-360e-3,0
84,109,116,0.00168,-360e-3,0
85,109,116,0.0017,-360e-3,0
86,109,116,0.00172,-360e-3,0
87,109,116,0.00174,-360e-3,0
88,109,116,0.00176,-360e-3,0
89,109,115,0.00178,-360e-3,-40e-3
90,109,116,0.0018,-360e-3,0
91,109,116,0.00182,-360e-3,0
92,109,116,0.00184,-360e-3,0
93,109,116,0.00186,-360e-3,0
94,109,115,0.00188,-360e-3,-40e-3
95,109,116,0.0019,-360e-3,0
96,109,116,0.00192,-360e-3,0
97,109,116,0.00194,-360e-3,0
98,109,116,0.00196,-360e-3,0
99,109,116,0.00198,-360e-3,0
100,109,116,0.002,-360e-3,0
101,109,116,0.00202,-360e-3,0
102,109,116,0.00204,-360e-3,0
103,109,116,0.00206,-360e-3,0
104,109,116,0.00208,-360e-3,0
105,109,116,0.0021,-360e-3,0
106,109,116,0.00212,-360e-3,0
107,109,116,0.00214,-360e-3,0
108,109,116,0.00216,-360e-3,0
109,109,116,0.00218,-360e-3,0
110,109,116,0.0022,-360e-3,0
111,109,116,0.00222,-360e-3,0
112,109,116,0.00224,-360e-3,0
113,109,116,0.00226,-360e-3,0
114,109,116,0.00228,-360e-3,0
115,109,116,0.0023,-360e-3,0
116,109,116,0.00232,-360e-3,0
117,109,116,0.00234,-360e-3,0
118,109,116,0.00236,-360e-3,0
119,109,116,0.00238,-360e-3,0
120,109,116,0.0024,-360e-3,0
121,109,116,0.00242,-360e-3,0
122,109,116,0.00244,-360e-3,0
123,109,116,0.00246,-360e-3,0
124,109,116,0.00248,-360e-3,0
125,109,116,0.0025,-360e-3,0
126,109,116,0.00252,-360e-3,0
127,109,116,0.00254,-360e-3,0
128,109,116,0.00256,-360e-3,0
129,109,116,0.00258,-360e-3,0
130,109,116,0.0026,-360e-3,0
131,109,116,0.00262,-360e-3,0
132,109,116,0.00264,-360e-3,0
133,109,116,0.00266,-360e-3,0
134,109,116,0.00268,-360e-3,0
135,109,116,0.0027,-360e-3,0
136,109,116,0.00272,-360e-3,0
137,109,116,0.00274,-360e-3,0
138,109,116,0.00276,-360e-3,0
139,109,116,0.00278,-360e-3,0
140,109,116,0.0028,-360e-3,0
141,109,116,0.00282,-360e-3,0
142,109,116,0.00284,-360e-3,0
143,109,116,0.00286,-360e-3,0
144,109,116,0.00288,-360e-3,0
145,109,116,0.0029,-360e-3,0
146,109,116,0.00292,-360e-3,0
147,109,116,0.00294,-360e-3,0
148,109,116,0.00296,-360e-3,0
149,109,116,0.00298,-360e-3,0
150,109,116,0.003,-360e-3,0
151,109,116,0.00302,-360e-3,0
152,109,116,0.00304,-360e-3,0
153,109,116,0.00306,-360e-3,0
154,109,116,0.00308,-360e-3,0
155,109,116,0.0031,-360e-3,0
156,109,116,0.00312,-360e-3,0
157,109,116,0.00314,-360e-3,0
158,109,116,0.00316,-360e-3,0
159,109,116,0.00318,-360e-3,0
160,109,116,0.0032,-360e-3,0
161,109,116,0.00322,-360e-3,0
162,109,116,0.00324,-360e-3,0
163,109,116,0.00326,-360e-3,0
164,109,116,0.00328,-360e-3,0
165,109,116,0.0033,-360e-3,0
166,109,116,0.00332,-360e-3,0
167,109,116,0.00334,-360e-3,0
168,109,116,0.00336,-360e-3,0
169,109,116,0.00338,-360e-3,0
170,109,116,0.0034,-360e-3,0
171,109,116,0.00342,-360e-3,0
172,109,116,0.00344,-360e-3,0
173,109,116,0.00346,-360e-3,0
174,109,116,0.00348,-360e-3,0
175,109,116,0.0035,-360e-3,0
176,109,116,0.00352,-360e-3,0
177,109,116,0.00354,-360e-3,0
178,109,116,0.00356,-360e-3,0
179,109,117,0.00358,-360e-3,40e-3
180,109,116,0.0036,-360e-3,0
181,109,116,0.00362,-360e-3,0
182,109,116,0.00364,-360e-3,0
183,109,116,0.00366,-360e-3,0
184,109,116,0.00368,-360e-3,0
185,109,116,0.0037,-360e-3,0
186,109,115,0.00372,-360e-3,-40e-3
187,109,116,0.00374,-360e-3,0
188,109,116,0.00376,-360e-3,0
189,109,116,0.00378,-360e-3,0
190,109,116,0.0038,-360e-3,0
191,109,116,0.00382,-360e-3,0
192,109,116,0.00384,-360e-3,0
193,109,116,0.00386,-360e-3,0
194,109,116,0.00388,-360e-3,0
195,109,116,0.0039,-360e-3,0
196,109,116,0.00392,-360e-3,0
197,109,116,0.00394,-360e-3,0
198,109,116,0.00396,-360e-3,0
199,109,116,0.00398,-360e-3,0
200,109,116,0.004,-360e-3,0
201,109,116,0.00402,-360e-3,0
202,109,116,0.00404,-360e-3,0
203,109,116,0.00406,-360e-3,0
204,110,116,0.00408,-320e-3,0
205,109,116,0.0041,-360e-3,0
206,109,116,0.00412,-360e-3,0
207,109,116,0.00414,-360e-3,0
208,109,116,0.00416,-360e-3,0
209,109,116,0.00418,-360e-3,0
210,109,116,0.0042,-360e-3,0
211,109,116,0.00422,-360e-3,0
212,109,116,0.00424,-360e-3,0
213,109,116,0.00426,-360e-3,0
214,110,116,0.00428,-320e-3,0
215,110,116,0.0043,-320e-3,0
216,109,116,0.00432,-360e-3,0
217,109,116,0.00434,-360e-3,0
218,109,116,0.00436,-360e-3,0
219,109,116,0.00438,-360e-3,0
220,109,116,0.0044,-360e-3,0
221,109,116,0.00442,-360e-3,0
222,109,116,0.00444,-360e-3,0
223,109,116,0.00446,-360e-3,0
224,109,116,0.00448,-360e-3,0
225,109,116,0.0045,-360e-3,0
226,109,116,0.00452,-360e-3,0
227,109,116,0.00454,-360e-3,0
228,109,116,0.00456,-360e-3,0
229,109,116,0.00458,-360e-3,0
230,109,116,0.0046,-360e-3,0
231,109,116,0.00462,-360e-3,0
232,109,116,0.00464,-360e-3,0
233,109,116,0.00466,-360e-3,0
234,109,116,0.00468,-360e-3,0
235,109,116,0.0047,-360e-3,0
236,109,116,0.00472,-360e-3,0
237,109,116,0.00474,-360e-3,0
238,109,116,0.00476,-360e-3,0
239,109,117,0.00478,-360e-3,40e-3
240,109,116,0.0048,-360e-3,0
241,109,116,0.00482,-360e-3,0
242,109,116,0.00484,-360e-3,0
243,109,116,0.00486,-360e-3,0
244,109,116,0.00488,-360e-3,0
245,109,116,0.0049,-360e-3,0
246,109,116,0.00492,-360e-3,0
247,109,116,0.00494,-360e-3,0
248,109,116,0.00496,-360e-3,0
249,109,116,0.00498,-360e-3,0
250,110,116,0.005,-320e-3,0
251,109,116,0.00502,-360e-3,0
252,109,116,0.00504,-360e-3,0
253,109,116,0.00506,-360e-3,0
254,109,116,0.00508,-360e-3,0
255,109,116,0.0051,-360e-3,0
256,109,116,0.00512,-360e-3,0
257,109,116,0.00514,-360e-3,0
258,109,116,0.00516,-360e-3,0
259,109,116,0.00518,-360e-3,0
260,109,116,0.0052,-360e-3,0
261,109,116,0.00522,-360e-3,0
262,109,116,0.00524,-360e-3,0
263,109,116,0.00526,-360e-3,0
264,109,116,0.00528,-360e-3,0
265,109,116,0.0053,-360e-3,0
266,109,115,0.00532,-360e-3,-40e-3
267,109,116,0.00534,-360e-3,0
268,109,116,0.00536,-360e-3,0
269,109,116,0.00538,-360e-3,0
270,109,116,0.0054,-360e-3,0
271,109,116,0.00542,-360e-3,0
272,109,116,0.00544,-360e-3,0
273,109,116,0.00546,-360e-3,0
274,109,116,0.00548,-360e-3,0
275,109,116,0.0055,-360e-3,0
276,109,116,0.00552,-360e-3,0
277,109,116,0.00554,-360e-3,0
278,109,116,0.00556,-360e-3,0
279,109,116,0.00558,-360e-3,0
280,109,116,0.0056,-360e-3,0
281,109,116,0.00562,-360e-3,0
282,109,116,0.00564,-360e-3,0
283,110,116,0.00566,-320e-3,0
284,109,116,0.00568,-360e-3,0
285,109,115,0.0057,-360e-3,-40e-3
286,109,116,0.00572,-360e-3,0
287,109,116,0.00574,-360e-3,0
288,109,116,0.00576,-360e-3,0
289,109,116,0.00578,-360e-3,0
290,109,116,0.0058,-360e-3,0
291,109,116,0.00582,-360e-3,0
292,109,116,0.00584,-360e-3,0
293,109,116,0.00586,-360e-3,0
294,109,116,0.00588,-360e-3,0
295,109,116,0.0059,-360e-3,0
296,109,116,0.00592,-360e-3,0
297,109,116,0.00594,-360e-3,0
298,109,116,0.00596,-360e-3,0
299,109,116,0.00598,-360e-3,0
300,109,116,0.006,-360e-3,0
301,109,116,0.00602,-360e-3,0
302,109,116,0.00604,-360e-3,0
303,109,116,0.00606,-360e-3,0
304,109,116,0.00608,-360e-3,0
305,109,116,0.0061,-360e-3,0
306,109,116,0.00612,-360e-3,0
307,109,116,0.00614,-360e-3,0
308,109,116,0.00616,-360e-3,0
309,109,203,0.00618,-360e-3,3.48
310,109,202,0.0062,-360e-3,3.44
311,109,202,0.00622,-360e-3,3.44
312,109,201,0.00624,-360e-3,3.4
313,109,201,0.00626,-360e-3,3.4
314,110,201,0.00628,-320e-3,3.4
315,109,200,0.0063,-360e-3,3.36
316,109,199,0.00632,-360e-3,3.32
