Record Length,16384
Sample Interval,CH1:0.0400000000000 CH2:0.0400000000000
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,50.0000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-327.68000000000,-0.36000,0.00
-327.64002500000,-0.35600,0.00
-327.60000000000,-0.36400,0.00
-327.56000000000,-0.35200,0.00
-327.52000000000,-0.35600,0.00
-327.48000000000,-0.36000,0.00
-327.44000000000,-0.35600,0.00
-327.40000000000,-0.35600,0.00
-327.35997500000,-0.35600,0.00
-327.32000000000,-0.35600,0.00
-327.28000000000,-0.35600,0.00
-327.24000000000,-0.36400,0.00
-327.20000000000,-0.35200,0.00
-327.16000000000,-0.35600,0.00
-327.12000000000,-0.36000,0.00
-327.07997500000,-0.36000,0.00
-327.04000000000,-0.36400,0.00
-327.00000000000,-0.36800,0.00
-326.96000000000,-0.36400,0.00
-326.92002500000,-0.35600,0.00
-326.88000000000,-0.35600,0.00
-326.84000000000,-0.35600,0.00
-326.80000000000,-0.36400,-0.04000
-326.76000000000,-0.36000,0.00
-326.72000000000,-0.35600,0.00
-326.68000000000,-0.36400,0.00
-326.64002500000,-0.36400,0.00
-326.60000000000,-0.35600,0.00
-326.56000000000,-0.35600,0.00
-326.52000000000,-0.35600,0.00
-326.48000000000,-0.36400,0.00
-326.44000000000,-0.36400,0.00
-326.40000000000,-0.35600,0.00
-326.35997500000,-0.35600,0.00
-326.32000000000,-0.35600,0.00
-326.28000000000,-0.35600,0.00
-326.24000000000,-0.35600,0.00
-326.20000000000,-0.34800,0.00
-326.16000000000,-0.35600,0.00
-326.12000000000,-0.36400,0.00
-326.07997500000,-0.35600,0.00
-326.04000000000,-0.35600,0.00
-326.00000000000,-0.36400,0.00
-325.96000000000,-0.36000,0.00
-325.92002500000,-0.36400,0.00
-325.88000000000,-0.36000,0.00
-325.84000000000,-0.36400,0.00
-325.80000000000,-0.35600,0.00
-325.76000000000,-0.35600,0.00
-325.72000000000,-0.36400,0.00
-325.68000000000,-0.35600,0.00
-325.64002500000,-0.35600,0.00
-325.60000000000,-0.35200,0.00
-325.56000000000,-0.35600,0.00
-325.52000000000,-0.35600,0.00
-325.48000000000,-0.36000,0.00
-325.44000000000,-0.35600,0.00
-325.40000000000,-0.35600,0.00
-325.35997500000,-0.36400,0.00
-325.32000000000,-0.35200,0.00
-325.28000000000,-0.35600,0.00
-325.24000000000,-0.35600,0.00
-325.20000000000,-0.36000,0.00
-325.16000000000,-0.36000,0.00
-325.12000000000,-0.36400,0.00
-325.07997500000,-0.36400,0.00
-325.04000000000,-0.36800,0.00
-325.00000000000,-0.36400,0.00
-324.96000000000,-0.35600,0.00
-324.92002500000,-0.35200,0.00
-324.88000000000,-0.35600,0.00
-324.84000000000,-0.36400,0.00
-324.80000000000,-0.36000,0.00
-324.76000000000,-0.35600,0.00
-324.72000000000,-0.35200,0.00
-324.68000000000,-0.35600,0.00
-324.64002500000,-0.35600,0.00
-324.60000000000,-0.35200,0.00
-324.56000000000,-0.35200,0.00
-324.52000000000,-0.35200,0.00
-324.48000000000,-0.36400,0.00
-324.44000000000,-0.36800,0.00
-324.40000000000,-0.35200,0.00
