Record Length,16384
Sample Interval,CH1:0.0000800000063 CH2:0.0000800000063
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:1.00,,
Vertical Offset,CH1:-0.00400 CH2:0.00,,
Horizontal Units,s,,
Horizontal Scale,0.1000000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-0.65536000000,-0.36400,0.00
-0.65528000000,-0.36400,0.00
-0.65520000000,-0.35600,0.00
-0.65512000000,-0.36000,0.00
-0.65504000000,-0.35200,0.04000
-0.65496006250,-0.36800,-0.04000
-0.65488000000,-0.35600,0.00
-0.65480000000,-0.36400,0.00
-0.65472000000,-0.35600,0.00
-0.65464000000,-0.36400,0.00
-0.65456000000,-0.36400,0.00
-0.65448000000,-0.36400,0.00
-0.65440000000,-0.36400,0.00
-0.65432000000,-0.36000,0.00
-0.65424000000,-0.36000,0.00
-0.65416000000,-0.36800,0.00
-0.65408006250,-0.36800,0.00
-0.65400000000,-0.36400,0.00
-0.65392000000,-0.35600,0.00
-0.65384000000,-0.36400,0.00
-0.65376000000,-0.36400,0.00
-0.65368000000,-0.36400,0.00
-0.65360006250,-0.36400,0.00
-0.65352000000,-0.36800,0.00
-0.65344000000,-0.36400,0.00
-0.65336000000,-0.36400,0.00
-0.65328000000,-0.36400,0.00
-0.65320000000,-0.36400,0.00
-0.65312000000,-0.36800,0.00
-0.65304000000,-0.36800,0.00
-0.65296000000,-0.36800,0.00
-0.65288000000,-0.36800,0.00
-0.65280000000,-0.36400,0.00
-0.65272006250,-0.36000,0.00
-0.65264000000,-0.36400,0.00
-0.65256000000,-0.36800,0.00
-0.65248000000,-0.36800,0.00
-0.65240000000,-0.36400,0.00
-0.65232000000,-0.36800,0.00
-0.65224006250,-0.36800,0.00
-0.65216000000,-0.36800,0.00
-0.65208000000,-0.36800,0.00
-0.65200000000,-0.36800,0.00
-0.65192000000,-0.36800,0.00
-0.65184000000,-0.36400,0.00
-0.65176000000,-0.36400,0.00
-0.65168000000,-0.36400,0.00
-0.65160000000,-0.35600,0.00
-0.65152000000,-0.36400,0.00
-0.65144000000,-0.36800,0.00
-0.65136000000,-0.36400,0.00
-0.65128000000,-0.36400,0.00
-0.65120000000,-0.36800,-0.04000
-0.65112000000,-0.36800,0.00
-0.65104000000,-0.36400,-0.04000
-0.65096000000,-0.36800,0.00
-0.65088000000,-0.36400,0.00
-0.65080000000,-0.36400,0.00
-0.65072000000,-0.36800,0.00
-0.65064000000,-0.36800,0.00
-0.65056000000,-0.36400,0.00
-0.65048006250,-0.36400,0.00
-0.65040000000,-0.36400,0.00
-0.65032000000,-0.35600,0.00
