Record Length,16384
Sample Interval,CH1:0.0002000000000 CH2:0.0002000000000
Vertical Units,CH1:V CH2:V,,
Vertical Scale,CH1:0.10 CH2:5.00,,
Vertical Offset,CH1:0.16800 CH2:-2.20000,,
Horizontal Units,s,,
Horizontal Scale,0.2500000000,,
Model Number,ADS1102C,,
Serial Number,ADS00003120139,,
Software Version,3.01.01.31R21,,

Source,CH1,CH2
Second,Volt,Volt
-1.63840000000,0.34000,-0.40000
-1.63820000000,0.34000,-0.40000
-1.63800000000,0.34000,-0.60000
-1.63780000000,0.34000,-0.40000
-1.63760000000,0.34000,-0.60000
-1.63740000000,0.34000,-0.40000
-1.63720000000,0.34000,-0.40000
-1.63700000000,0.34000,-0.40000
-1.63680000000,0.34000,-0.40000
-1.63660000000,0.34000,-0.40000
-1.63640000000,0.34000,-0.40000
-1.63620000000,0.34000,-0.40000
-1.63600000000,0.34000,-0.40000
-1.63580000000,0.34000,-0.40000
-1.63560000000,0.34000,-0.40000
-1.63540000000,0.34000,-0.40000
-1.63520000000,0.34000,-0.40000
-1.63500000000,0.34000,-0.40000
-1.63480000000,0.34000,-0.40000
-1.63460000000,0.34000,-0.40000
-1.63440000000,0.34000,-0.40000
-1.63420000000,0.34000,-0.40000
-1.63400000000,0.34000,-0.40000
-1.63380000000,0.34000,-0.40000
-1.63360000000,0.34000,-0.40000
-1.63340000000,0.34000,-0.40000
-1.63320000000,0.34000,-0.40000
-1.63300000000,0.34000,-0.40000
-1.63280000000,0.34000,-0.40000
-1.63260000000,0.34000,-0.40000
-1.63240000000,0.34000,-0.40000
-1.63220000000,0.34000,-0.40000
-1.63200000000,0.34000,-0.40000
-1.63179987500,0.34000,-0.40000
-1.63160000000,0.34000,-0.40000
-1.63140000000,0.34000,-0.40000
-1.63120000000,0.34000,-0.40000
-1.63100000000,0.34000,-0.60000
-1.63080000000,0.34000,-0.40000
-1.63060000000,0.34000,-0.40000
-1.63040000000,0.34000,-0.40000
-1.63020000000,0.34000,-0.40000
-1.63000000000,0.34000,-0.40000
-1.62980000000,0.34000,-0.40000
-1.62960000000,0.34000,-0.40000
-1.62940000000,0.34000,-0.40000
-1.62920000000,0.34000,-0.40000
-1.62900000000,0.34000,-0.40000
-1.62880000000,0.34000,-0.40000
-1.62860000000,0.34000,-0.40000
-1.62840000000,0.34000,-0.60000
-1.62820000000,0.34000,-0.40000
-1.62800000000,0.34000,-0.40000
-1.62780000000,0.34000,-0.40000
-1.62760000000,0.34000,-0.40000
-1.62740000000,0.34000,-0.40000
-1.62720000000,0.34000,-0.40000
-1.62700000000,0.34000,-0.40000
-1.62680000000,0.34000,-0.40000
-1.62660000000,0.34000,-0.60000
-1.62640000000,0.34000,-0.40000
-1.62620000000,0.34000,-0.40000
