# 20150407-145030.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: 0 V ( 0V ) [0]
# Timebase (time/DIV)  : 500e-3 s ( 500ms )
#  { screen range 18*(t/DIV)= 9s }
# Sampling rate (scope Acquire menu,2CH RealTime): 5e3 Hz [Sa/s] ( 5kHz )
#  {eqv.period: 200us range: 1.2s }
# Sampling interval (scope USB FlashDrive .CSV)  : 800e-6 s ( 800us )
#  {eqv.freq: 1.25kHz range: 4.8s }
# Sampling interval (screen_range/num_samples)   : 1.5e-3 s ( 1.5ms )
#  {eqv.freq: 666.666666666667Hz }
# Time Ranges 1.2 <= 9: assume portion +keep;
#  { final timestep: 800e-6 / 800us {eqv.freq: 1.25kHz range 4.8s }}
# Oversample factor: 1.00 ( 0.25 0.133333 0 0.133333333333333 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 1 (Auto); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-240e-3,0) ; ch2 (-80e-3,3.4)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 6000 (ch1: 6000 ; ch2: 6000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 500ms T/DIV2 500ms Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 480mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,112,128,0,-240e-3,0
1,112,128,0.0008,-240e-3,0
2,112,128,0.0016,-240e-3,0
3,112,128,0.0024,-240e-3,0
4,112,128,0.0032,-240e-3,0
5,112,128,0.004,-240e-3,0
6,112,128,0.0048,-240e-3,0
7,112,128,0.0056,-240e-3,0
8,112,128,0.0064,-240e-3,0
9,112,128,0.0072,-240e-3,0
10,112,128,0.008,-240e-3,0
11,113,128,0.0088,-200e-3,0
12,112,128,0.0096,-240e-3,0
13,112,128,0.0104,-240e-3,0
14,112,128,0.0112,-240e-3,0
15,112,128,0.012,-240e-3,0
16,112,128,0.0128,-240e-3,0
17,112,128,0.0136,-240e-3,0
18,112,128,0.0144,-240e-3,0
19,112,126,0.0152,-240e-3,-80e-3
20,114,126,0.016,-160e-3,-80e-3
21,113,132,0.0168,-200e-3,160e-3
22,112,127,0.0176,-240e-3,-40e-3
23,112,126,0.0184,-240e-3,-80e-3
24,112,128,0.0192,-240e-3,0
25,112,128,0.02,-240e-3,0
26,112,128,0.0208,-240e-3,0
27,112,127,0.0216,-240e-3,-40e-3
28,112,128,0.0224,-240e-3,0
29,112,128,0.0232,-240e-3,0
30,112,128,0.024,-240e-3,0
31,112,128,0.0248,-240e-3,0
32,112,128,0.0256,-240e-3,0
33,112,128,0.0264,-240e-3,0
34,112,128,0.0272,-240e-3,0
35,112,128,0.028,-240e-3,0
36,113,128,0.0288,-200e-3,0
37,112,128,0.0296,-240e-3,0
38,113,128,0.0304,-200e-3,0
39,112,128,0.0312,-240e-3,0
40,112,128,0.032,-240e-3,0
41,112,128,0.0328,-240e-3,0
42,112,128,0.0336,-240e-3,0
43,112,128,0.0344,-240e-3,0
44,112,128,0.0352,-240e-3,0
45,112,128,0.036,-240e-3,0
46,112,128,0.0368,-240e-3,0
47,112,128,0.0376,-240e-3,0
48,112,128,0.0384,-240e-3,0
49,112,128,0.0392,-240e-3,0
50,112,128,0.04,-240e-3,0
51,112,128,0.0408,-240e-3,0
52,112,128,0.0416,-240e-3,0
53,112,128,0.0424,-240e-3,0
54,112,128,0.0432,-240e-3,0
55,112,128,0.044,-240e-3,0
56,112,128,0.0448,-240e-3,0
57,112,128,0.0456,-240e-3,0
58,113,128,0.0464,-200e-3,0
59,112,128,0.0472,-240e-3,0
60,112,128,0.048,-240e-3,0
61,113,128,0.0488,-200e-3,0
62,113,128,0.0496,-200e-3,0
63,112,128,0.0504,-240e-3,0
64,112,127,0.0512,-240e-3,-40e-3
65,112,128,0.052,-240e-3,0
66,112,128,0.0528,-240e-3,0
67,113,128,0.0536,-200e-3,0
68,113,128,0.0544,-200e-3,0
69,113,128,0.0552,-200e-3,0
70,112,128,0.056,-240e-3,0
71,112,128,0.0568,-240e-3,0
72,112,128,0.0576,-240e-3,0
73,112,128,0.0584,-240e-3,0
74,112,128,0.0592,-240e-3,0
75,112,128,0.06,-240e-3,0
76,112,128,0.0608,-240e-3,0
77,113,128,0.0616,-200e-3,0
78,113,128,0.0624,-200e-3,0
79,112,128,0.0632,-240e-3,0
80,112,128,0.064,-240e-3,0
81,112,128,0.0648,-240e-3,0
82,112,128,0.0656,-240e-3,0
83,112,128,0.0664,-240e-3,0
84,112,128,0.0672,-240e-3,0
85,112,128,0.068,-240e-3,0
86,112,128,0.0688,-240e-3,0
87,112,128,0.0696,-240e-3,0
88,112,128,0.0704,-240e-3,0
89,112,128,0.0712,-240e-3,0
90,113,128,0.072,-200e-3,0
91,112,128,0.0728,-240e-3,0
92,112,128,0.0736,-240e-3,0
93,113,128,0.0744,-200e-3,0
94,112,128,0.0752,-240e-3,0
95,112,128,0.076,-240e-3,0
96,113,128,0.0768,-200e-3,0
97,112,128,0.0776,-240e-3,0
98,112,128,0.0784,-240e-3,0
99,112,128,0.0792,-240e-3,0
100,112,128,0.08,-240e-3,0
101,112,128,0.0808,-240e-3,0
102,113,128,0.0816,-200e-3,0
103,113,128,0.0824,-200e-3,0
104,112,128,0.0832,-240e-3,0
105,112,128,0.084,-240e-3,0
106,112,128,0.0848,-240e-3,0
107,112,128,0.0856,-240e-3,0
108,112,128,0.0864,-240e-3,0
109,112,128,0.0872,-240e-3,0
110,112,128,0.088,-240e-3,0
111,112,128,0.0888,-240e-3,0
112,112,128,0.0896,-240e-3,0
113,112,128,0.0904,-240e-3,0
114,112,128,0.0912,-240e-3,0
