# 20150427-152351.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -480e-3 V ( -480mV ) [-12]
# Timebase (time/DIV)  : 1 s ( 1s )
#  { screen range 18*(t/DIV)= 18s }
# Sampling rate (scope Acquire menu,2CH RealTime): 2.5e3 Hz [Sa/s] ( 2.5kHz )
#  {eqv.period: 400us range: 2.4s }
# Sampling interval (scope USB FlashDrive .CSV)  : 2.0000001563e-3 s ( 2.0000001563ms )
#  {eqv.freq: 499.999960925003Hz range: 12.0000009378s }
# Sampling interval (screen_range/num_samples)   : 3e-3 s ( 3ms )
#  {eqv.freq: 333.333333333333Hz }
# Time Ranges 2.4 <= 18: assume portion +keep;
#  { final timestep: 2.0000001563e-3 / 2.0000001563ms {eqv.freq: 499.999960925003Hz range 12.0000009378s }}
# Oversample factor: 1.00 ( 0.199999984370001 0.133333 0 0.133333333333333 )
# Time offset: 0 s ( 0s )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 1 (Auto); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-400e-3,0) ; ch2 (-80e-3,3.48)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 6000 (ch1: 6000 ; ch2: 6000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 1s T/DIV2 1s Toffs 0s
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 640mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,110,116,0,-320e-3,0
1,109,116,0.0020000001563,-360e-3,0
2,109,116,0.0040000003126,-360e-3,0
3,109,116,0.0060000004689,-360e-3,0
4,109,116,0.0080000006252,-360e-3,0
5,109,116,0.0100000007815,-360e-3,0
6,109,116,0.0120000009378,-360e-3,0
7,109,116,0.0140000010941,-360e-3,0
8,110,116,0.0160000012504,-320e-3,0
9,109,116,0.0180000014067,-360e-3,0
10,109,116,0.020000001563,-360e-3,0
11,109,116,0.0220000017193,-360e-3,0
12,109,116,0.0240000018756,-360e-3,0
13,109,116,0.0260000020319,-360e-3,0
14,110,116,0.0280000021882,-320e-3,0
15,109,116,0.0300000023445,-360e-3,0
16,110,116,0.0320000025008,-320e-3,0
17,111,117,0.0340000026571,-280e-3,40e-3
18,109,116,0.0360000028134,-360e-3,0
19,110,116,0.0380000029697,-320e-3,0
20,109,116,0.040000003126,-360e-3,0
21,109,116,0.0420000032823,-360e-3,0
22,109,116,0.0440000034386,-360e-3,0
23,109,116,0.0460000035949,-360e-3,0
24,110,116,0.0480000037512,-320e-3,0
25,110,116,0.0500000039075,-320e-3,0
26,110,116,0.0520000040638,-320e-3,0
27,109,116,0.0540000042201,-360e-3,0
28,109,116,0.0560000043764,-360e-3,0
29,109,116,0.0580000045327,-360e-3,0
30,110,116,0.060000004689,-320e-3,0
31,109,116,0.0620000048453,-360e-3,0
32,109,116,0.0640000050016,-360e-3,0
33,109,116,0.0660000051579,-360e-3,0
34,109,116,0.0680000053142,-360e-3,0
35,109,116,0.0700000054705,-360e-3,0
36,109,116,0.0720000056268,-360e-3,0
37,109,116,0.0740000057831,-360e-3,0
38,109,116,0.0760000059394,-360e-3,0
39,109,116,0.0780000060957,-360e-3,0
40,109,116,0.080000006252,-360e-3,0
41,109,116,0.0820000064083,-360e-3,0
42,109,116,0.0840000065646,-360e-3,0
43,109,116,0.0860000067209,-360e-3,0
44,109,116,0.0880000068772,-360e-3,0
45,109,116,0.0900000070335,-360e-3,0
46,109,116,0.0920000071898,-360e-3,0
47,109,116,0.0940000073461,-360e-3,0
48,109,116,0.0960000075024,-360e-3,0
49,109,116,0.0980000076587,-360e-3,0
50,109,116,0.100000007815,-360e-3,0
51,109,116,0.1020000079713,-360e-3,0
52,109,116,0.1040000081276,-360e-3,0
