# 20150504-105657.csv [generated by /home/warreee/attenload/adsparse-wave.pl]
# scope data:
# Ch1 V/DIV  : 1 V ( 1V )
# Ch1 Voffset: -400e-3 V ( -400mV ) [-10]
# Ch2 V/DIV  : 1 V ( 1V )
# Ch2 Voffset: -480e-3 V ( -480mV ) [-12]
# Timebase (time/DIV)  : 1e-3 s ( 1ms )
#  { screen range 18*(t/DIV)= 18ms }
# Sampling rate (scope Acquire menu,2CH RealTime): 500e3 Hz [Sa/s] ( 500kHz )
#  {eqv.period: 2us range: 32ms }
# Sampling interval (scope USB FlashDrive .CSV)  : 2.0000002e-6 s ( 2.0000002us )
#  {eqv.freq: 499.999950000005kHz range: 32.0000032ms }
# Sampling interval (screen_range/num_samples)   : 1.125e-6 s ( 1.125us )
#  {eqv.freq: 888.888888888889kHz }
# Time Ranges 32ms > 18ms: assume resample +recalc;
#  { final timestep: 2e-6 / 2us {eqv.freq: 500kHz range 32ms }}
# Oversample factor: 1.0 ( -- 1.777778 1 0.777777777777778 )
# Time offset: 5.40000009536743e-3 s ( 5.40000009536743ms )
# Single Btn: 0 (Off); Run/Stop Btn: 1 (Run[G])
# Trigger: status= 3 (Trig'd); mode change= 0 (TrigModeSettled)
# Real volt ranges: ch1 (-400e-3,0) ; ch2 (-240e-3,3.56)
# Real voltsteps: ch1 40e-3 ; ch2 40e-3
# Number of samples in data: 16000 (ch1: 16000 ; ch2: 16000)
#ssf V/DIV1 1V V/DIV2 1V T/DIV1 1ms T/DIV2 1ms Toffs 5.4ms
#ssf CH1: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf CH2: probe 2:10X couple 0:DC BWL 0 INV 0 Filt 0 FiltType 0:low-pass
#ssf Trigger: level 800mV mode 0:Auto SRC 1:CH2 Type 0:Edge Couple 0:DC Holdoff 100ns
#ssf          EdgeSlope 0:Up PulseWhen 0:P<
#ssf          VidPol: 1:Down VidSync: 0:AllLines VidStd 1:NTSC
#ssf          SlopeVertical 0:Top SlopeWhen: 1:R< SlopeTime: 1ms
# ------------------------
# (sample index), (ch1 raw uint), (ch2 raw uint), (time [s]), (ch1 [V]), (ch2 [V])
# ------------------------
0,109,116,0,-360e-3,0
1,109,117,2e-06,-360e-3,40e-3
2,109,117,4e-06,-360e-3,40e-3
3,109,116,6e-06,-360e-3,0
4,109,117,8e-06,-360e-3,40e-3
5,109,117,1e-05,-360e-3,40e-3
6,109,117,1.2e-05,-360e-3,40e-3
7,109,117,1.4e-05,-360e-3,40e-3
8,109,117,1.6e-05,-360e-3,40e-3
9,109,116,1.8e-05,-360e-3,0
10,109,117,2e-05,-360e-3,40e-3
11,109,116,2.2e-05,-360e-3,0
12,109,117,2.4e-05,-360e-3,40e-3
13,109,116,2.6e-05,-360e-3,0
14,109,117,2.8e-05,-360e-3,40e-3
15,109,117,3e-05,-360e-3,40e-3
16,109,116,3.2e-05,-360e-3,0
17,109,117,3.4e-05,-360e-3,40e-3
18,109,116,3.6e-05,-360e-3,0
19,109,116,3.8e-05,-360e-3,0
20,110,117,4e-05,-320e-3,40e-3
21,109,117,4.2e-05,-360e-3,40e-3
22,109,116,4.4e-05,-360e-3,0
23,109,117,4.6e-05,-360e-3,40e-3
24,109,117,4.8e-05,-360e-3,40e-3
25,109,117,5e-05,-360e-3,40e-3
26,109,116,5.2e-05,-360e-3,0
27,109,116,5.4e-05,-360e-3,0
28,109,117,5.6e-05,-360e-3,40e-3
29,109,117,5.8e-05,-360e-3,40e-3
30,109,117,6e-05,-360e-3,40e-3
31,109,116,6.2e-05,-360e-3,0
32,109,116,6.4e-05,-360e-3,0
33,109,117,6.6e-05,-360e-3,40e-3
34,109,118,6.8e-05,-360e-3,80e-3
35,109,116,7e-05,-360e-3,0
36,109,117,7.2e-05,-360e-3,40e-3
37,109,117,7.4e-05,-360e-3,40e-3
38,109,116,7.6e-05,-360e-3,0
39,109,117,7.8e-05,-360e-3,40e-3
40,109,117,8e-05,-360e-3,40e-3
41,109,117,8.2e-05,-360e-3,40e-3
42,109,116,8.4e-05,-360e-3,0
43,109,117,8.6e-05,-360e-3,40e-3
44,110,117,8.8e-05,-320e-3,40e-3
45,109,116,9e-05,-360e-3,0
46,109,116,9.2e-05,-360e-3,0
47,109,116,9.4e-05,-360e-3,0
48,109,116,9.6e-05,-360e-3,0
49,109,116,9.8e-05,-360e-3,0
