x_0 f(x)	
0	0
0.000008	0
0.000016	0
0.000024	0
0.000032	0
0.00004	0
0.000048	0
0.000056	0
0.000064	0
0.000072	0
0.00008	0
0.000088	0
0.000096	0
0.000104	0
0.000112	0
0.00012	0
0.000128	0
0.000136	0
0.000144	0
0.000152	0
0.00016	0
0.000168	0
0.000176	0
0.000184	0
0.000192	0
0.0002	0
0.000208	0
0.000216	0
0.000224	0
0.000232	0
0.00024	0
0.000248	0
0.000256	0
0.000264	0
0.000272	0
0.00028	0
0.000288	0
0.000296	0
0.000304	0
0.000312	0
0.00032	0
0.000328	0
0.000336	0
0.000344	0
0.000352	0
0.00036	0
0.000368	0
0.000376	0
0.000384	0
0.000392	0
0.0004	0
0.000408	0
0.000416	0
0.000424	0
0.000432	0
0.00044	0
0.000448	0
0.000456	0
0.000464	-0.04
0.000472	0
0.00048	0
0.000488	0
0.000496	0
0.000504	0
0.000512	0
0.00052	0
0.000528	0
0.000536	0
0.000544	0
0.000552	0
0.00056	-0.04
0.000568	0
0.000576	0
0.000584	0
0.000592	0
0.0006	0
0.000608	0
0.000616	0
0.000624	0
0.000632	0
0.00064	0
0.000648	0
0.000656	0
0.000664	0
0.000672	0
0.00068	0
0.000688	0
0.000696	0
0.000704	0
0.000712	0
0.00072	0
0.000728	0
0.000736	0
0.000744	0
0.000752	0
0.00076	0
0.000768	0
0.000776	0
0.000784	0
0.000792	0
0.0008	0
0.000808	0
0.000816	0
0.000824	0
0.000832	0
0.00084	0
0.000848	0
0.000856	0
0.000864	0
0.000872	0
0.00088	0
0.000888	0
0.000896	0
0.000904	0
0.000912	0
0.00092	0
0.000928	0
0.000936	0
0.000944	0
0.000952	0
0.00096	0
0.000968	0
0.000976	0
0.000984	0
0.000992	0
0.001	0
0.001008	0
0.001016	0
0.001024	0
0.001032	0
0.00104	0
0.001048	0
0.001056	0
0.001064	0
0.001072	0
0.00108	0
0.001088	0
0.001096	0
0.001104	0
0.001112	0
0.00112	0
0.001128	0
0.001136	0
0.001144	0
0.001152	0
0.00116	0
0.001168	0
0.001176	-0.04
0.001184	0
0.001192	0
0.0012	0
0.001208	0
0.001216	0
0.001224	0
0.001232	0
0.00124	0
0.001248	0
0.001256	0
0.001264	0
0.001272	0
0.00128	0
0.001288	0
0.001296	0
0.001304	0
0.001312	0
0.00132	0
0.001328	0
0.001336	0
0.001344	0
0.001352	0
0.00136	0
0.001368	0
0.001376	0
0.001384	0
0.001392	0
0.0014	0
0.001408	0
0.001416	0
0.001424	0
0.001432	0
0.00144	0
0.001448	0
0.001456	0
0.001464	0
0.001472	0
0.00148	0
0.001488	0
0.001496	0
0.001504	0
0.001512	0
0.00152	0
0.001528	0
0.001536	0
0.001544	0
0.001552	0
0.00156	0
0.001568	0
0.001576	0
0.001584	0
0.001592	0
0.0016	0
0.001608	0
0.001616	0
0.001624	0
0.001632	0
0.00164	0
0.001648	0
0.001656	0
0.001664	0
0.001672	0
0.00168	0
0.001688	0
0.001696	0
0.001704	0
0.001712	0
0.00172	0
0.001728	0
0.001736	0
0.001744	0
0.001752	0
0.00176	0
0.001768	0
0.001776	0
0.001784	0
0.001792	0
0.0018	0
0.001808	0
0.001816	0
0.001824	0
0.001832	0
0.00184	0
0.001848	0
0.001856	0
0.001864	0
0.001872	0
0.00188	0
0.001888	0
0.001896	0
0.001904	0
0.001912	0
0.00192	0
0.001928	0
0.001936	0
0.001944	0
0.001952	0
0.00196	0
0.001968	0
0.001976	0
0.001984	0
0.001992	0
0.002	0
0.002008	0
0.002016	0
0.002024	0
0.002032	0
